Keuwl Accelerometer Data File
2019-06-26 17-09-08

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,3.479972,9.069236,-2.246958,9.970460,103.024139,69.007607
0.0095810,3.380613,9.220071,-2.607286,10.160521,104.868973,69.864136
0.0226030,3.479972,9.397242,-2.246958,10.269721,102.638237,69.679482
0.0395940,4.206613,9.343372,-1.069011,10.302280,95.955986,65.761574
0.0497420,4.519056,9.284714,-0.482432,10.337337,92.674896,64.046890
0.0600140,4.854244,9.490616,-0.130484,10.660793,90.701294,62.911243
0.0695810,4.953603,9.434352,0.118513,10.656417,89.362785,62.297821
0.0795870,5.108029,9.369708,0.258574,10.674748,88.611992,61.402363
0.0898830,5.115212,9.087193,0.389058,10.435221,87.863335,60.624691
0.0995200,4.994305,8.876503,0.423774,10.193869,87.617447,60.636009
0.1098150,4.436456,8.705317,0.123301,9.771381,89.276985,62.995426
0.1196020,3.760094,8.576031,-0.459687,9.375389,92.810410,66.325325
0.1295960,3.405752,8.546103,-0.992397,9.253099,96.156822,68.271965
0.1395470,3.266888,8.610746,-1.340753,9.306725,98.283012,69.223427
0.1495680,3.263297,8.596381,-1.612495,9.335257,99.946686,69.212593
0.1601990,3.240552,8.752005,-1.729811,9.491629,100.500610,69.682220
0.1698900,3.161543,8.908825,-1.951274,9.652460,101.662895,70.461357
0.1800390,3.084929,8.641871,-1.889025,9.368412,101.632744,70.354721
0.1897630,3.175909,8.570045,-1.663970,9.289825,100.318359,69.666176
0.2005270,3.262100,8.621520,-1.200692,9.295889,97.421272,69.275002
0.2098170,3.460819,8.834604,-1.200692,9.563951,97.212143,68.608009
0.2199530,3.711013,9.027337,-1.036689,9.815250,96.062904,67.653114
0.2296690,4.036624,9.130288,-0.905008,10.023748,95.180084,66.149132
0.2401860,4.338294,9.083601,-0.638055,10.086611,93.626816,64.471039
0.2496510,4.370615,9.034520,-0.549469,10.051206,93.133751,64.183769
0.2601130,4.292804,9.042900,-0.624887,10.029591,93.572090,64.605591
0.2695430,4.194642,9.085996,-0.781707,10.037998,94.466415,65.219116
0.2795140,4.107253,9.202114,-0.975637,10.124243,95.529968,65.946976
0.2894880,3.980360,9.273940,-1.102530,10.152083,96.234695,66.771065
0.2997410,3.940856,9.336189,-1.231817,10.208435,96.930573,67.115128
0.3101870,3.851074,9.180567,-1.207875,10.028585,96.917679,67.242874
0.3195470,3.782839,9.038112,-1.164779,9.866816,96.779587,67.288589
0.3298450,3.841497,9.069236,-1.189918,9.920889,96.888680,67.043724
0.3405280,3.883395,9.021352,-1.104924,9.883643,96.418694,66.709709
0.3497000,3.939659,8.888474,-1.010353,9.774798,95.932861,66.095528
0.3598880,3.939659,8.798691,-0.982820,9.690398,95.821060,65.879303
0.3704960,3.873818,8.754398,-1.000776,9.625358,95.967995,66.130623
0.3798650,3.821146,8.784326,-1.033098,9.634979,96.155296,66.491158
0.3895510,3.794810,8.754398,-1.011550,9.594962,96.051659,66.564491
0.3996160,3.831920,8.744822,-0.950498,9.594736,95.685303,66.337303
0.4095880,3.864242,8.761581,-0.963666,9.624257,95.746590,66.200417
