Keuwl Accelerometer Data File
2019-06-26 16-16-35

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,6.501455,8.044518,-0.800860,10.374226,94.427475,51.055393
0.0095950,6.508637,8.098388,-0.833182,10.423072,94.584908,51.211319
0.0191560,6.447585,8.054094,-0.750582,10.344234,94.161064,51.321503
0.0291100,6.387730,7.994239,-0.591368,10.249911,93.307510,51.373688
0.0390780,6.175843,7.892486,-0.494403,10.033783,92.824326,51.956944
0.0491580,5.811924,7.515399,-0.457293,9.511509,92.755714,52.283947
0.0592190,5.786786,7.375339,-0.530316,9.389555,93.237747,51.881813
0.0694510,5.882554,7.460332,-0.465672,9.511984,92.806114,51.743835
0.0793520,6.141128,7.603985,-0.505177,9.787198,92.958694,51.074974
0.0893520,6.549339,7.811083,-0.499191,10.205688,92.803627,50.021263
0.1003210,6.777985,7.869741,-0.305261,10.390721,91.683487,49.262611
0.1098340,6.835446,7.851785,0.035913,10.410337,89.802345,48.958488
0.1192240,6.937200,7.888895,0.361524,10.511427,88.029007,48.672810
0.1292550,6.902483,7.703344,0.769736,10.371995,85.744003,48.138474
0.1391720,6.925229,7.583634,1.045069,10.322909,84.189545,47.598274
0.1492790,6.906075,7.582437,1.138443,10.319073,83.666000,47.672779
0.1595980,6.643910,7.378930,0.956484,9.975220,84.497688,48.000465
0.1694670,6.398504,7.068881,0.743400,9.563606,85.541779,47.849705
0.1791260,5.894525,7.351396,0.377087,9.430305,87.708321,51.276531
0.1893880,5.276821,7.541735,-0.262165,9.208221,91.631477,55.020187
0.1991380,4.950012,7.402872,-0.774524,8.938960,94.970680,56.230896
0.2093300,4.950012,7.461530,-1.091756,9.020475,96.951599,56.439526
0.2195130,5.050569,7.660248,-1.262941,9.261894,97.837204,56.602264
0.2305060,5.133168,7.754819,-1.321599,9.393256,98.088158,56.498123
0.2394360,5.309142,7.794323,-1.289278,9.518440,97.784668,55.739071
0.2492200,5.538986,7.835025,-1.148020,9.663639,96.822731,54.741528
0.2591950,5.746084,7.815871,-0.926556,9.744939,95.455971,53.677361
0.2695700,5.938818,7.738060,-0.596156,9.772539,93.497398,52.494431
0.2796740,6.155493,7.746439,-0.270545,9.898010,91.566277,51.528568
0.2895850,6.360197,7.796718,-0.089783,10.062255,90.511238,50.794048
0.2992340,6.859388,8.343793,-0.122104,10.802083,90.647675,50.576557
0.3092890,6.882133,8.768764,-0.306458,11.151183,91.574806,51.873528
0.3194260,6.457162,7.961918,-0.368707,10.257828,92.059883,50.957745
0.3294130,6.390124,7.378930,-0.180762,9.762938,91.060898,49.107567
0.3393900,6.488286,7.190985,0.169988,9.686951,88.994514,47.940674
0.3494890,6.487090,7.176620,0.356736,9.680571,87.888130,47.888943
0.3592110,6.467936,7.445967,0.311246,9.867801,88.192497,49.020802
0.3694670,6.324284,7.718906,0.063446,9.979083,89.635712,50.671421
