Keuwl Accelerometer Data File
2019-06-26 17-31-08

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,8.256405,5.963956,-3.403358,10.738708,108.477020,35.842201
0.0099450,7.432799,5.832275,-3.351882,10.024822,109.533524,38.120121
0.0199850,7.444770,5.803545,-2.195483,9.691537,103.093224,37.938076
0.0299440,7.936779,5.732916,-0.767342,9.820773,94.481346,35.841438
0.0400030,8.481460,5.577293,0.245406,10.153894,88.615105,33.328377
0.0499730,8.925584,5.614403,0.851139,10.578847,85.385185,32.170860
0.0603380,9.135077,5.584476,1.301249,10.785603,83.070564,31.438372
0.0701040,8.923190,5.288792,2.121263,10.587463,78.442215,30.655304
0.0821150,8.713697,5.328296,1.489193,10.321674,81.704514,31.445164
0.0902200,8.698134,5.328296,0.248997,10.203444,88.601662,31.490768
0.1000550,8.615535,5.805939,-0.571017,10.404923,93.145943,33.975712
0.1103110,8.396465,6.065710,-0.938527,10.400688,95.177246,35.844810
0.1202580,7.839813,5.475539,-0.673968,9.586367,94.031494,34.931499
0.1303900,8.140285,5.425261,-0.092177,9.782954,90.539856,33.682289
0.1404400,8.516175,5.614403,-0.241814,10.203197,91.358032,33.395405
0.1500700,8.429984,5.576096,-0.345962,10.113217,91.960411,33.483032
0.1605770,8.171411,5.592855,-0.313640,9.907086,91.814186,34.389370
0.1702630,8.325836,6.198588,0.074220,10.380152,89.590317,36.667698
0.1799980,7.981071,5.640739,-0.993594,9.823577,95.805038,35.251320
0.1899600,6.994660,5.377377,-0.636858,8.845737,94.128639,37.552475
0.2001920,7.070077,5.191826,-0.816423,8.809518,95.317520,36.291252
0.2099480,7.781156,5.504270,-0.925359,9.575994,95.545326,35.275002
0.2199360,8.080431,5.641936,-0.635661,9.875671,93.690468,34.923599
0.2301460,7.961918,5.531803,-0.345962,9.701168,92.043709,34.790905
0.2401380,7.906851,5.464766,-0.296881,9.616138,91.769188,34.650021
0.2502110,8.030152,5.487510,-0.284910,9.730226,91.677910,34.347263
0.2606490,8.177396,5.540183,-0.216675,9.879797,91.256660,34.117626
0.2713560,8.210915,5.501875,-0.140061,9.884805,90.811867,33.824795
0.2800400,8.221688,5.443218,-0.079009,9.860579,90.459091,33.506790
0.2899370,8.293514,5.439626,-0.087388,9.918647,90.504814,33.260433
0.2999140,8.389283,5.475539,-0.116119,10.018737,90.664085,33.131786
0.3099610,8.416816,5.485116,-0.117316,10.047042,90.669037,33.091702
0.3200780,8.370130,5.483919,-0.123301,10.007380,90.705963,33.231911
0.3301890,8.239645,5.378574,-0.154426,9.840968,90.899132,33.135204
0.3401510,8.188169,5.348647,-0.183156,9.782008,91.072861,33.153229
0.3505300,8.237251,5.367800,-0.202310,9.833947,91.178810,33.090256
0.3610230,8.298303,5.431247,-0.210690,9.919912,91.217003,33.204784
0.3702890,8.277952,5.457583,-0.223858,9.917651,91.293373,33.396523
0.3802170,8.245630,5.462371,-0.219069,9.893226,91.268829,33.522743
0.3901830,8.243237,5.493496,-0.227449,9.908642,91.315315,33.680466
0.4003600,8.207323,5.492299,-0.274136,9.879304,91.590080,33.790234
0.4100470,8.148665,5.445612,-0.317232,9.805921,91.853905,33.754120
0.4203020,8.154651,5.443218,-0.313640,9.809451,91.832245,33.723053
0.4306310,8.218098,5.480328,-0.292093,9.882128,91.693779,33.697769
0.4405160,8.286332,5.474342,-0.259771,9.934748,91.498322,33.450634
0.4508340,8.298303,5.443218,-0.246603,9.927299,91.423424,33.262611
0.4602950,8.231265,5.359420,-0.222661,9.824800,91.298615,33.068363
0.4700780,8.197746,5.317522,-0.159214,9.772637,90.933495,32.969727
0.4802620,8.261193,5.376180,-0.167594,9.857926,90.974129,33.055080
0.4901090,8.304289,5.424064,-0.210690,9.920992,91.216866,33.151131
0.5001990,8.262390,5.425261,-0.202310,9.886429,91.172546,33.289753
0.5100700,8.239645,5.430049,-0.227449,9.870608,91.320389,33.385483
0.5204230,8.282741,5.416882,-0.193930,9.898686,91.122581,33.184536
0.5299540,8.327033,5.442020,-0.158017,9.948871,90.910065,33.166084
0.5408040,8.289924,5.414487,-0.137667,9.902447,90.796570,33.150192
0.5504250,8.213309,5.422867,-0.111330,9.842679,90.648087,33.434929
0.5611580,8.141483,5.384560,-0.202310,9.763103,91.187363,33.479588
0.5702090,8.141483,5.384560,-0.202310,9.763103,91.187363,33.479588
0.5808179,8.170214,5.413290,-0.160412,9.802135,90.937683,33.527023
0.5899640,8.259995,5.453991,-0.178368,9.899766,91.032379,33.436378
0.6005700,8.248025,5.456386,-0.096965,9.889968,90.561760,33.486168
0.6151810,8.231265,5.482722,-0.093374,9.890535,90.540924,33.666988
0.6299239,8.153454,5.456386,-0.204704,9.812892,91.195320,33.790897
0.6399540,8.153454,5.446809,-0.161609,9.806766,90.944237,33.744389
0.6501909,8.196549,5.451597,-0.165200,9.845335,90.961441,33.628227
0.6600530,8.226477,5.415684,-0.155623,9.850318,90.905243,33.357857
0.6700140,8.225280,5.407305,-0.083797,9.843841,90.487747,33.320950
0.6800030,8.213309,5.424064,-0.079009,9.843026,90.459908,33.440746
0.6900210,8.175002,5.421670,-0.156820,9.810696,90.915894,33.552380
0.7003109,8.117541,5.383362,-0.238223,9.743296,91.401016,33.551403
0.7105420,8.146272,5.389348,-0.226252,9.770262,91.326927,33.487518
0.7200700,8.218098,5.383362,-0.158017,9.825614,90.921478,33.227280
0.7301810,8.228871,5.415684,-0.100556,9.851603,90.584831,33.350197
0.7401220,8.218098,5.449203,-0.134075,9.861486,90.779007,33.547306
0.7502670,8.172607,5.470751,-0.201113,9.836720,91.171501,33.798389
0.7601479,8.151060,5.468357,-0.222661,9.817957,91.299515,33.856743
0.7703490,8.164227,5.462371,-0.198719,9.825049,91.158928,33.784962
0.7801020,8.201338,5.404911,-0.165200,9.823558,90.963570,33.385998
0.7903330,8.202535,5.412093,-0.052672,9.827263,90.307098,33.417122
0.7999210,8.209718,5.443218,-0.055067,9.850437,90.320297,33.545227
0.8100359,8.201338,5.468357,-0.136469,9.858169,90.793190,33.693928
0.8201520,8.178593,5.485116,-0.129287,9.848482,90.752174,33.848473
0.8300010,8.200141,5.498284,-0.141258,9.873875,90.819717,33.842285
0.8399230,8.196549,5.451597,-0.136469,9.844895,90.794258,33.628227
0.8501430,8.186973,5.418078,-0.080206,9.817766,90.468079,33.496296
0.8604180,8.221688,5.433641,-0.064643,9.855191,90.375824,33.460361
0.8700650,8.279149,5.471948,-0.079009,9.924353,90.456139,33.461960
0.8799660,8.282741,5.476737,-0.106542,9.930246,90.614738,33.473583
0.8901690,8.234857,5.449203,-0.112527,9.875189,90.652901,33.493565
0.9000530,8.202535,5.427655,-0.089783,9.836111,90.522995,33.492790
0.9104690,8.175002,5.415684,-0.101754,9.806664,90.594513,33.523232
0.9199250,8.182184,5.416882,-0.141258,9.813801,90.824730,33.505901
0.9307939,8.189367,5.440824,-0.138864,9.832984,90.809174,33.599133
0.9400979,8.226477,5.422867,-0.147243,9.854140,90.856163,33.392742
0.9504290,8.250419,5.409699,-0.093374,9.866254,90.542252,33.252369
0.9605700,8.206126,5.384560,-0.029928,9.815034,90.174706,33.271420
0.9703060,8.185776,5.398925,-0.059855,9.806065,90.349731,33.406830
0.9800570,8.179790,5.430049,-0.124498,9.818855,90.726501,33.577690
0.9902570,8.218098,5.482722,-0.180762,9.880792,91.048248,33.709320
1.0003150,8.243237,5.467160,-0.240617,9.894377,91.393494,33.553520
1.0105850,8.197746,5.424064,-0.187945,9.831523,91.095367,33.490738
1.0200260,8.172607,5.410896,-0.152032,9.802674,90.888649,33.507629
1.0303429,8.220491,5.446809,-0.149638,9.862383,90.869354,33.528023
1.0400590,8.257602,5.445612,-0.165200,9.892925,90.956818,33.403515
1.0500710,8.275558,5.412093,-0.125696,9.888954,90.728287,33.184093
1.0600280,8.279149,5.388151,-0.106542,9.878655,90.617950,33.056469
1.0702590,8.226477,5.340267,-0.159214,9.809114,90.930023,32.989857
1.0799299,8.232463,5.319916,-0.180762,9.803450,91.056519,32.871029
1.0901629,8.234857,5.342661,-0.179565,9.817797,91.047981,32.974949
1.1002619,8.225280,5.361814,-0.166397,9.819978,90.970909,33.099133
1.1099060,8.221688,5.361814,-0.167594,9.816991,90.978195,33.110580
1.1205020,8.220491,5.363012,-0.149638,9.816352,90.873436,33.120251
1.1300789,8.222886,5.366603,-0.137667,9.820144,90.803246,33.130165
1.1402160,8.236053,5.398925,-0.110133,9.848507,90.640739,33.245773
1.1501549,8.261193,5.444415,-0.159214,9.895166,90.921936,33.386276
1.1604160,8.215703,5.386954,-0.178368,9.825928,91.040138,33.252453
1.1700550,8.172607,5.353435,-0.162806,9.771248,90.954689,33.226650
1.1800150,8.191761,5.371391,-0.191536,9.797626,91.120163,33.253117
1.1899569,8.202535,5.367800,-0.162806,9.804151,90.951485,33.201038
1.2001570,8.244433,5.374983,-0.125696,9.842607,90.731720,33.102459
1.2104590,8.301894,5.424064,-0.108936,9.917348,90.629372,33.158699
1.2199540,8.310274,5.432444,-0.101754,9.928869,90.587189,33.172729
1.2299229,8.268375,5.421670,-0.108936,9.887993,90.631241,33.253323
1.2401520,8.267179,5.414487,-0.150835,9.883606,90.874428,33.222301
1.2505809,8.248025,5.346252,-0.184354,9.830886,91.074501,32.950733
1.2600679,8.244433,5.322310,-0.136469,9.814086,90.796753,32.844837
1.2700210,8.263587,5.315128,-0.128090,9.826182,90.746902,32.749069
1.2799850,8.282741,5.357026,-0.105345,9.864716,90.611870,32.893566
1.2899820,8.299500,5.368997,-0.138864,9.885703,90.804855,32.899075
1.3002890,8.299500,5.385756,-0.155623,9.895064,90.901146,32.980560
1.3100150,8.286332,5.419276,-0.164003,9.902461,90.948967,33.184757
1.3200810,8.295909,5.422867,-0.201113,9.913124,91.162468,33.171829
1.3304839,8.263587,5.366603,-0.232238,9.856025,91.350189,33.000813
