Keuwl Accelerometer Data File
2019-06-27 16-10-16

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.186748,6.196194,7.269993,9.554083,40.453697,88.273682
0.0098440,0.562637,6.289568,7.990648,10.184581,38.317883,84.888176
0.0197180,0.788889,6.183026,8.063671,10.191906,37.703720,82.728943
0.0296920,0.997185,6.198588,7.875727,10.071939,38.560772,80.860962
0.0397650,1.134852,6.329072,7.811083,10.117216,39.460899,79.834450
0.0497570,1.122881,6.357802,7.785944,10.114516,39.665939,79.984016
0.0597770,0.839168,6.268020,7.838616,10.071553,38.895477,82.374535
0.0698450,0.460884,6.029797,7.773973,9.849138,37.879398,85.629128
0.0799370,0.253785,5.905299,7.638700,9.658504,37.732346,87.539177
0.0899940,0.171185,5.922058,7.615956,9.648982,37.879723,88.344246
0.0999890,0.233435,6.104017,7.521385,9.689414,39.081715,87.809914
0.1098320,0.265756,5.978322,7.401675,9.518180,38.955406,87.454689
0.1200150,0.706290,6.581660,7.521385,10.019397,41.350475,83.874931
0.1305180,0.436942,6.494272,7.533356,9.955799,40.827602,86.150879
0.1402190,0.742203,6.351817,7.863756,10.135833,39.119003,83.335274
0.1506830,0.975637,6.268020,7.988254,10.200596,38.453197,81.152725
0.1601550,1.144428,6.230910,8.052897,10.246126,38.191780,79.592506
0.1702430,1.066617,6.107608,7.953538,10.084608,37.937588,80.093910
0.1807360,0.967257,6.137536,7.975086,10.109744,37.921700,81.044014
0.1904600,0.816423,6.211756,7.829040,10.027279,38.668491,82.512428
0.1998070,0.611719,6.253655,7.779958,10.000507,38.926159,84.413231
0.2098400,0.413000,6.216545,7.722497,9.922347,38.895412,86.199104
0.2199070,0.282516,6.136339,7.632715,9.797592,38.827244,87.363976
0.2301150,0.241814,6.051345,7.594408,9.713511,38.570675,87.711655
0.2407720,0.248997,5.963956,7.587225,9.653847,38.193443,87.609276
0.2499110,0.389058,6.051345,7.653066,9.764197,38.391232,86.321358
0.2601090,0.577003,6.183026,7.709330,9.899319,38.851559,84.668571
0.2700350,0.724246,6.211756,7.734468,9.946479,38.957851,83.349754
0.2799960,0.842759,6.315904,7.821857,10.088723,39.167130,82.399666
0.2899880,0.896629,6.347029,7.825448,10.115649,39.321888,81.959175
0.2998490,0.815226,6.224925,7.752425,9.975689,39.001289,82.538918
0.3099520,0.626084,6.083666,7.649475,9.793745,38.642529,84.124245
0.3202860,0.480037,5.993884,7.581240,9.676377,38.419762,85.421074
0.3298940,0.397437,5.935226,7.542933,9.606284,38.260063,86.169052
0.3400170,0.403423,5.938818,7.502231,9.576836,38.429585,86.113876
0.3499080,0.476446,5.997475,7.486669,9.604526,38.785744,85.457901
0.3603190,0.525527,6.021417,7.495049,9.628572,38.884090,85.012070
0.3717770,0.561440,6.051345,7.521385,9.669809,38.938461,84.699303
0.3798510,0.617704,6.135142,7.533356,9.735141,39.300816,84.250671
0.3901280,0.617704,6.107608,7.478289,9.675187,39.381828,84.224922
0.3999540,0.496797,6.039374,7.189788,9.402866,40.125214,85.297455
0.4101630,0.378284,5.941212,7.495049,9.571669,38.459766,86.356827
0.4200160,0.233435,5.894525,7.085640,9.219881,39.779053,87.732162
0.4300280,0.221464,5.827487,7.192182,9.259380,39.036446,87.823616
0.4407200,0.233435,5.872977,7.104794,9.220870,39.600086,87.723846
0.4498100,0.349553,5.602432,5.898116,8.142309,43.582806,86.429764
0.4601940,0.208296,6.161478,6.561310,9.003221,43.216316,88.063789
0.4698180,-0.541090,5.248090,5.464766,7.595979,43.992661,95.886520
0.4801630,-0.688333,4.859032,5.134366,7.102514,43.706055,98.062897
0.4902540,-1.138443,4.674679,5.397728,7.230777,41.712463,103.687027
0.4999060,-1.138443,4.590882,4.863821,6.784468,44.200443,103.927216
0.5100210,-0.831985,7.196970,4.449624,8.502219,58.442863,96.594246
0.5199290,-0.304064,8.051701,4.844667,9.401762,58.982922,92.162682
0.5301470,0.717063,7.584831,5.829881,9.593298,52.576359,84.599358
0.5401030,2.719813,6.736086,6.969521,10.067099,46.187008,68.012741
