Keuwl Accelerometer Data File
2019-06-26 17-46-26

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,7.295133,6.556521,-1.624466,9.942123,99.403847,41.947708
0.0095220,7.551312,6.229713,-0.914585,9.831994,95.337448,39.522091
0.0196910,7.742848,6.215348,-0.925359,9.971888,95.324524,38.754745
0.0295550,7.953538,5.887342,-0.038307,9.895506,90.221802,36.509464
0.0397600,7.839813,5.700594,0.152032,9.694461,89.101433,36.022171
0.0496120,7.724892,5.714960,0.571017,9.626046,86.599220,36.494442
0.0596500,7.705738,5.766435,0.469264,9.635890,87.208618,36.808609
0.0695980,7.684190,5.776011,0.574608,9.630123,86.579254,36.931259
0.0800760,7.827842,6.017826,0.496797,9.886160,87.119576,37.552074
0.0901320,8.319851,6.074090,0.553061,10.316024,86.926796,36.132130
0.0996700,8.711303,5.912481,0.887052,10.565561,85.183952,34.165279
0.1097710,8.662222,5.823895,0.833182,10.471200,85.436211,33.914234
0.1197600,8.680179,5.967548,0.169988,10.534990,89.075455,34.508186
0.1296630,8.573636,5.849035,0.106542,10.379296,89.411858,34.302265
0.1398960,8.389283,6.036980,0.513556,10.348378,87.155426,35.739025
0.1496820,8.097190,6.196194,-0.061052,10.196129,90.343079,37.424217
0.1602840,6.947973,5.698200,-0.404620,8.994862,92.578232,39.356003
0.1696160,6.904878,5.999869,-0.559046,9.164513,93.497284,40.988422
0.1799840,7.728483,6.127959,-2.267309,10.120377,102.946083,38.411102
0.1898180,7.524976,6.584054,-0.961272,10.044853,95.491493,41.184635
0.1997310,7.328651,6.059724,-0.879869,9.550056,95.286293,39.585777
0.2098320,7.455544,5.924452,-0.339977,9.528896,92.044662,38.471958
0.2199810,7.739257,5.895722,-0.342371,9.735135,92.015427,37.299946
0.2297890,7.759608,5.973533,-0.397437,9.800641,92.324104,37.589943
0.2406100,7.596802,5.957971,-0.432153,9.664139,92.562965,38.106155
0.2501520,7.469909,5.932832,-0.432153,9.549073,92.593864,38.457684
0.2601510,7.541735,5.997475,-0.392649,9.643736,92.333466,38.493057
0.2697880,7.694964,6.039374,-0.330400,9.787527,91.934517,38.126511
0.2807330,7.879318,6.093243,-0.119710,9.961204,90.688576,37.715538
0.2901180,7.917625,6.092046,-0.120907,9.990818,90.693398,37.575710
0.2997520,7.929596,6.138733,-0.073023,10.028354,90.417213,37.745411
0.3098840,7.946355,6.222530,-0.070629,10.093039,90.400948,38.063332
0.3201000,7.955932,6.211756,-0.110133,10.094300,90.625137,37.981663
0.3296250,7.948750,6.228516,-0.074220,10.098640,90.421104,38.081696
0.3400320,7.918822,6.185420,-0.093374,10.048676,90.532410,37.993523
0.3498250,7.842207,6.069301,-0.134075,9.917389,90.774620,37.737278
0.3605790,7.759608,5.991490,-0.093374,9.803988,90.545700,37.673103
0.3700150,7.739257,6.038177,-0.057461,9.816260,90.335388,37.961391
0.3797240,7.748834,6.143522,-0.046687,9.888855,90.270500,38.408501
0.3901260,7.796718,6.227319,-0.122104,9.979139,90.701088,38.614723
0.3999410,7.783550,6.257246,-0.166397,9.988216,90.954552,38.796024
