Keuwl Accelerometer Data File
2019-06-26 17-06-55

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.865083,9.044097,2.370260,9.533749,75.604263,78.347748
0.0099800,2.098518,9.060856,2.481590,9.626067,75.060501,76.960052
0.0200470,2.078167,9.173384,2.406173,9.708729,75.650505,77.235489
0.0299170,1.879448,9.269152,2.267309,9.725749,76.518913,78.537888
0.0398840,1.721431,9.419987,2.164358,9.817532,77.264038,79.643906
0.0501100,1.681927,9.428367,2.203863,9.827512,77.040962,79.885399
0.0601020,1.872266,9.531317,2.360683,9.996209,76.340118,78.886711
0.0700910,2.055422,9.662998,2.495955,10.189607,75.821060,77.991554
0.0800100,2.293645,10.141838,2.494758,10.693059,76.508194,77.256546
0.0900330,2.240973,10.177752,2.507926,10.719062,76.469154,77.582558
0.1000080,2.015918,9.982624,2.470816,10.479583,76.362732,78.583084
0.1099730,1.890222,9.946711,2.395399,10.404226,76.689194,79.240105
0.1199370,1.775301,9.813833,2.394202,10.256473,76.500717,79.746208
0.1300640,1.489193,9.147048,2.643199,9.637048,74.081200,80.753036
0.1399730,1.455675,8.889671,2.859874,9.451144,72.386436,80.700409
0.1500810,1.521515,8.995016,2.595315,9.484776,74.119644,80.399246
0.1599780,1.663970,9.205706,2.370260,9.650490,75.782097,79.754173
0.1700330,1.646014,9.184157,2.327164,9.616330,75.995316,79.839142
0.1800620,2.133234,9.805453,2.181118,10.269123,77.737213,77.726227
0.1900150,1.971625,9.501390,2.155979,9.940420,77.473564,78.276978
0.2000290,2.187103,9.470264,2.395399,10.010358,76.155243,76.995865
0.2101400,2.148796,9.188946,2.373851,9.730839,75.880127,76.838135
0.2199140,1.996764,9.127894,2.276886,9.617159,76.305054,77.660690
0.2300200,1.732205,9.203311,2.149993,9.608535,77.070107,79.340752
0.2399600,1.914164,9.897630,1.793257,10.239281,79.913483,79.054344
0.2500440,1.379060,9.731233,1.482011,9.939570,81.425102,81.934044
0.2600170,0.723049,9.267955,1.605312,9.433706,80.202431,85.539047
0.2700140,0.512359,8.953117,1.942895,9.175819,77.775620,86.724716
0.2801940,0.869095,8.905233,2.207454,9.215821,76.141273,84.425941
0.2904470,1.532289,9.047688,2.359486,9.475006,75.580345,80.387764
0.3001860,2.085350,9.300277,2.466028,9.845056,75.493851,77.361916
0.3108090,2.270900,9.507375,2.492364,10.087568,75.695633,76.566223
0.3206350,2.140416,9.605537,2.482787,10.149481,75.840500,77.437927
0.3303820,1.863886,9.624691,2.436100,10.101649,76.045067,79.039955
0.3401070,1.661576,9.586384,2.404976,10.022150,76.115463,80.166809
0.3501280,1.605312,9.540894,2.416947,9.972327,75.973808,80.449104
0.3602320,1.605312,9.494206,2.433706,9.931763,75.815643,80.403008
0.3700890,1.624466,9.452309,2.455254,9.900167,75.640732,80.248459
0.3800880,1.602918,9.421184,2.460042,9.868123,75.564392,80.344170
0.3901820,1.599327,9.427169,2.463634,9.874150,75.551872,80.371399
0.4000980,1.613692,9.441534,2.450465,9.886929,75.649734,80.301056
