Keuwl Accelerometer Data File
2019-06-26 16-09-40

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,2.998738,9.139865,1.316811,9.708941,82.205025,71.835632
0.0098990,2.998738,8.722076,1.356315,9.322372,81.634323,71.026512
0.0199220,3.351882,8.572439,1.648408,9.350886,79.846634,68.644157
0.0298830,3.632004,8.701726,1.798046,9.599191,79.204033,67.344887
0.0399460,3.670311,8.932767,1.674744,9.801545,80.161865,67.663132
0.0499800,3.517082,9.063251,1.577779,9.848948,80.781624,68.790771
0.0602790,3.288436,8.951921,1.569399,9.665076,80.655029,69.829483
0.0700780,3.201048,8.813056,1.574188,9.507614,80.469582,70.038139
0.0801460,3.241749,8.777143,1.572991,9.487965,80.456985,69.728806
0.0901230,3.315969,8.780735,1.614889,9.523909,80.237671,69.311386
0.1001600,3.462016,8.919599,1.653196,9.709678,80.196907,68.786980
0.1099680,3.587711,9.102755,1.686715,9.928586,80.218880,68.488884
0.1201160,3.659537,9.192537,1.696292,10.038544,80.271606,68.292564
0.1300270,3.654749,9.175778,1.719037,10.025327,80.126732,68.282410
0.1400670,3.612850,9.186552,1.723825,10.020828,80.094467,68.531479
0.1501940,3.496732,9.156625,1.708263,9.949325,80.113533,69.099144
0.1599570,3.405752,9.144653,1.674744,9.900940,80.261597,69.573112
0.1698850,3.343503,9.114726,1.679533,9.852820,80.185310,69.855736
0.1800590,3.383007,9.106346,1.679533,9.858555,80.191078,69.619972
0.1901830,3.473987,9.129091,1.681927,9.911497,80.229942,69.166168
0.2001130,3.566164,9.165004,1.689109,9.978372,80.254211,68.738663
0.2099780,3.654749,9.211691,1.726219,10.059437,80.119026,68.359238
0.2200830,3.763685,9.182961,1.880645,10.100937,79.269760,67.713470
0.2300450,4.025850,9.109938,2.108095,10.180496,78.049187,66.158478
0.2399340,4.405331,9.130288,2.437297,10.426386,76.481316,64.242859
0.2501540,4.757279,9.198523,2.861071,10.743847,74.555870,62.652962
0.2599270,4.878186,9.097966,3.219004,10.813495,72.681450,61.800491
0.2702250,4.648343,8.907627,3.319561,10.581700,71.717186,62.442715
0.2799400,4.539406,9.247604,3.031059,10.738330,73.604538,63.854790
0.2901140,4.122815,9.652225,2.636016,10.821812,75.901855,66.870911
0.2999000,3.520674,9.865308,2.128445,10.688766,78.513954,70.359833
0.3100210,3.141193,9.836577,1.695095,10.464162,80.677551,72.289742
0.3199210,2.992752,9.594764,1.394622,10.146972,82.100136,72.676506
0.3299640,2.973598,9.288305,1.183933,9.824286,83.078415,72.247826
0.3417280,3.106477,9.023746,1.168370,9.614743,83.020248,71.003677
0.3500570,3.106477,9.023746,1.168370,9.614743,83.020248,71.003677
0.3599100,3.241749,9.014170,1.284489,9.665097,82.362808,70.219986
0.3699570,3.354277,9.006987,1.369483,9.708371,81.890686,69.574249
0.3800010,3.399766,8.960299,1.436521,9.690664,81.475189,69.221977
