Keuwl Accelerometer Data File
2019-06-26 17-25-34

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,4.684256,8.234857,0.736217,9.502481,85.556480,60.367367
0.0097210,4.813542,8.225280,1.090559,9.592431,83.471954,59.663265
0.0196760,5.019444,8.373720,1.199495,9.836300,82.995590,59.060341
0.0296000,5.114015,8.443152,1.114501,9.933886,83.558319,58.796722
0.0395620,5.092467,8.431181,0.946907,9.895184,84.508751,58.867855
0.0497870,4.938041,8.249222,0.815226,9.648757,85.153290,59.094971
0.0595760,4.800375,8.129512,0.737414,9.469759,85.533829,59.438683
0.0697070,4.729745,8.157045,0.713472,9.456052,85.672844,59.893314
0.0797670,4.744111,8.321048,0.630872,9.599189,86.231728,60.311073
0.0897680,4.856638,8.449138,0.476446,9.757144,87.201103,60.109333
0.1002240,5.087678,8.538920,0.482432,9.951401,87.221283,59.212574
0.1096460,5.491102,8.601170,0.654814,10.225512,86.328423,57.445293
0.1197290,5.895722,8.669404,0.873884,10.520541,85.235268,55.781914
0.1298040,6.157887,8.690952,1.091756,10.707201,84.147682,54.680904
0.1398500,6.081272,8.467094,1.320402,10.507951,82.781273,54.313179
0.1520060,5.803545,8.276755,1.404199,10.205762,82.091652,54.962399
0.1696330,5.243302,8.225280,1.253365,9.834550,82.678024,57.484043
0.1795990,5.068525,8.481460,1.304840,9.966329,82.476959,59.137436
0.1899510,4.926070,8.644265,1.339556,10.039119,82.331947,60.322666
0.1996620,4.894945,8.629900,0.962469,9.968049,84.459152,60.437759
0.2095960,4.818331,8.544906,0.700304,9.834742,85.916672,60.582069
0.2196430,4.703409,8.432379,0.647632,9.677112,86.162666,60.848110
0.2296010,4.771644,8.359355,0.604536,9.644318,86.406166,60.281631
0.2396700,5.036203,8.344990,0.622492,9.766765,86.345734,58.889008
0.2496550,5.388151,8.364143,0.684742,9.972960,86.062981,57.210514
0.2597230,5.726931,8.397662,0.823605,10.197882,85.367607,55.707291
0.2696640,6.053739,8.459911,0.981623,10.448993,84.609444,54.413269
0.2797000,6.336255,8.531737,1.112107,10.685290,84.025932,53.399883
0.2895950,6.484695,8.534132,1.164779,10.781437,83.797913,52.770466
0.2996070,6.432023,8.415619,1.195904,10.659444,83.558311,52.609467
0.3098130,6.196194,8.257602,1.187524,10.391873,83.438232,53.116814
0.3197080,5.884948,8.062474,1.154005,10.048275,83.405251,53.873611
0.3296820,5.616797,7.912837,1.101333,9.765978,83.524841,54.631588
