Keuwl Accelerometer Data File
2019-06-27 15-58-43

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.031901,5.538986,8.215703,9.962075,34.442120,79.446899
0.0098910,1.024718,5.242105,8.836999,10.325806,31.149900,78.939384
0.0200510,0.921768,5.361814,8.672996,10.238143,32.099579,80.245438
0.0298580,0.869095,5.342661,8.740033,10.280444,31.770807,80.760574
0.0398980,0.812831,5.238513,8.756793,10.236413,31.189938,81.180061
0.0498890,0.744597,5.051765,8.388085,9.820119,31.331455,81.615356
0.0599280,0.791284,4.983531,8.319851,9.730449,31.236662,80.977905
0.0699890,0.938527,5.134366,8.409634,9.897700,31.825800,79.641090
0.0800780,0.878672,5.226542,8.391677,9.925173,32.275070,80.456833
0.0899660,0.555455,5.122395,8.103176,9.602548,32.450329,83.811226
0.0999750,0.284910,5.152322,7.705738,9.273942,33.808483,86.834915
0.1099160,0.213084,5.237316,7.376535,9.049208,35.396999,87.670166
0.1199390,0.205901,5.169082,7.217321,8.879838,35.631931,87.718925
0.1300020,0.251391,5.237316,7.478289,9.133318,35.035934,87.251915
0.1402520,0.392649,5.476737,7.941567,9.654911,34.659954,85.899254
0.1500140,0.648829,5.481525,8.501810,10.136512,32.993607,83.249512
0.1602770,0.883460,5.420473,8.647857,10.244387,32.418423,80.742996
0.1700160,1.101333,5.309142,8.506598,10.087723,32.513748,78.280731
0.1800860,1.290475,5.309142,8.562862,10.157506,32.540829,76.338249
0.1902810,1.219846,5.285200,8.669404,10.226433,32.032787,77.003487
0.2000680,1.070208,5.325902,8.667010,10.228765,32.078922,78.638069
0.2100060,0.824802,5.323507,8.512584,10.073932,32.326881,81.192856
0.2199710,0.681150,5.297171,8.328231,9.893605,32.671524,82.672684
0.2300350,0.695516,5.313931,8.256405,9.843263,32.987705,82.543213
0.2400720,0.731429,5.275623,8.233660,9.806138,32.897511,82.106659
0.2500950,0.742203,5.293580,8.206126,9.793537,33.079674,82.018700
0.2601810,0.682347,5.227739,8.184579,9.735615,32.787544,82.563545
0.2700390,0.657208,5.203797,8.236053,9.764425,32.491032,82.801994
0.2802330,0.702698,5.234922,8.261193,9.805382,32.593208,82.354729
0.2900820,0.741005,5.188235,8.327033,9.839022,32.185570,81.871750
0.3001940,0.836774,5.216966,8.398860,9.922588,32.173622,80.887672
0.3099990,0.933739,5.282806,8.353370,9.927673,32.709343,79.976471
0.3200530,0.946907,5.261258,8.307879,9.879187,32.759666,79.797287
0.3301140,0.895431,5.221754,8.232463,9.789890,32.763161,80.269508
0.3402040,0.828394,5.244499,8.163031,9.737868,33.041382,81.024017
0.3499180,0.684742,5.109226,8.112753,9.611962,32.432198,82.366669
0.3600040,0.696713,5.155913,8.030152,9.568292,32.939392,82.304298
0.3699840,0.663194,5.160702,7.885303,9.447258,33.418941,82.677139
0.3800100,0.648829,5.112818,7.811083,9.358146,33.417179,82.767685
0.3901030,0.714669,5.189432,7.855376,9.441816,33.697617,82.158760
0.4000570,0.695516,5.171476,7.788338,9.374760,33.821327,82.340210
0.4099140,0.654814,5.090073,7.672219,9.230415,33.778931,82.669426
0.4199020,0.599748,5.069722,7.564480,9.125959,34.014400,83.253273
0.4299340,0.481235,5.121197,7.487866,9.084403,34.486950,84.631729
0.4399140,0.350751,5.203797,7.374141,9.032192,35.271122,86.143936
0.4499890,0.233435,5.312734,7.199365,8.950446,36.451683,87.484116
0.4616370,0.187945,5.243302,6.837840,8.618793,37.499004,87.947128
0.4700070,0.190339,5.118803,6.697779,8.431999,37.408100,87.870476
0.4799490,0.344765,5.169082,6.781576,8.533936,37.376862,86.184166
0.4903240,0.661997,5.492299,7.046135,8.958326,38.136108,83.127190
0.4999770,0.944513,5.822699,7.240066,9.338869,39.171249,80.786179
0.5100070,1.095347,5.877765,7.416040,9.526047,38.876438,79.443771
0.5200670,1.119289,5.728127,7.365762,9.397802,38.392487,78.943588
0.5300040,1.074997,5.452795,7.264008,9.146278,37.419891,78.847389
0.5400490,1.127669,5.299565,7.179014,8.994180,37.042927,77.987465
0.5500230,1.329979,5.463568,7.202956,9.137943,37.978016,76.318764
0.5600520,1.472434,5.456386,7.139510,9.105647,38.364796,74.898155
0.5708000,1.875857,5.735310,7.049727,9.279616,40.562222,71.888550
0.5805740,2.144008,5.707777,7.101202,9.359624,40.649754,69.412354
0.5900140,2.424129,5.711368,7.465121,9.706913,39.731167,67.001724
0.6001390,2.771288,5.634754,7.835025,10.040822,38.710384,63.811085
0.6100170,3.171120,5.507861,8.123527,10.314273,38.038162,60.069054
0.6200560,3.332729,5.486313,7.982268,10.243209,38.805832,58.722897
0.6300390,3.477578,5.571307,7.788338,10.187798,40.139503,58.027824
0.6400200,3.640384,5.614403,7.626729,10.145981,41.262184,57.040588
0.6500450,3.914520,5.894525,7.623138,10.401015,42.868034,56.412094
0.6601650,3.818752,6.342240,7.843405,10.785448,43.346077,58.947266
0.6700770,3.958812,5.993884,7.571663,10.436902,43.492008,56.556221
0.6802350,4.266468,5.883750,7.532158,10.466837,43.976780,54.053112
0.6902780,4.566940,6.021417,7.254431,10.475742,46.171818,52.821526
0.7000880,4.544195,6.307524,6.785168,10.318579,48.885342,54.229504
0.7102579,4.924873,6.482301,6.183026,10.222740,52.783348,52.774559
0.7202010,4.538209,5.396531,6.824672,9.812952,45.934845,49.937859
0.7300839,4.842273,6.372168,6.519411,10.322540,50.833920,52.768440
0.7402790,4.736928,6.104017,6.549339,10.128739,49.713543,52.187302
0.7501380,4.320337,5.864597,6.933608,10.056526,46.412342,53.621632
0.7601089,4.261679,5.724536,7.463924,10.326780,43.716053,53.333851
0.7700990,4.420894,5.177461,7.857770,10.396873,40.906246,49.506886
0.7803070,4.114436,5.054160,7.128736,9.658777,42.433769,50.852024
0.7900450,3.472790,4.752491,7.017405,9.159171,39.989559,53.843262
0.8003660,2.991555,4.531027,6.829460,8.724743,38.485176,56.565701
0.8105620,3.117251,4.690241,6.443994,8.558077,41.151501,56.391003
0.8205990,3.517082,4.772841,6.493075,8.792605,42.398758,53.613689
0.8302730,3.897760,5.015852,6.432023,9.040035,44.642567,52.149639
0.8402480,3.884592,4.976348,6.331466,8.941005,44.916370,52.024010
0.8502579,4.005499,5.129577,6.265626,9.034083,46.087887,52.015022
0.8606480,4.218584,5.139154,6.217742,9.103168,46.919083,50.618412
0.8700610,4.607641,5.319916,5.944803,9.212629,49.812698,49.103783
0.8803050,4.871003,5.714960,5.560534,9.343820,53.480038,49.558212
0.8907600,4.878186,6.123171,5.173870,9.383968,56.540184,51.456497
0.9000700,5.224148,6.769605,4.602853,9.711103,61.707150,52.342396
0.9099590,5.785588,6.806715,4.338294,9.931022,64.097397,49.636047
0.9200789,4.709395,5.431247,4.724957,8.602445,56.683914,49.071674
0.9299640,4.235343,5.194221,5.323507,8.559076,51.539700,50.806358
0.9400090,4.365827,5.177461,6.524199,9.403814,46.069740,49.861176
0.9500309,4.659117,5.142745,6.087258,9.230921,48.742661,47.824707
0.9600720,4.955997,5.261258,5.239710,8.927335,54.060627,46.711315
0.9699310,4.959589,5.640739,6.064513,9.653693,51.082077,48.676628
0.9801710,4.096479,5.367800,8.881291,11.156692,37.245399,52.650654
0.9904570,4.814740,5.373785,9.169792,11.668093,38.197292,48.140678
1.0001169,7.376535,7.283162,6.908469,12.457314,56.318806,44.635063
1.0099850,8.880095,9.065644,5.547365,13.849738,66.388100,45.592388
1.0199460,9.330204,10.240001,4.565742,14.586168,71.758759,47.661701
1.0299970,8.032547,10.602722,3.817555,13.838832,73.986839,52.852688
1.0401120,6.009446,10.409989,3.671508,12.568266,73.014763,60.003155
1.0499400,3.985149,9.737218,3.490746,11.085132,71.645012,67.742203
1.0602059,2.390610,8.735245,3.134010,9.583400,70.911705,74.694397
1.0699110,1.414973,7.745243,2.833538,8.367787,70.206909,79.646843
1.0800021,1.204283,7.017405,2.537854,7.558768,70.381866,80.262115
1.0899339,1.479617,6.709750,2.810793,7.423649,67.751350,77.564308
1.0998799,2.025495,6.734890,2.841918,7.585371,67.996841,73.261520
1.1100029,3.296816,7.643489,2.999935,8.848250,70.181442,66.668335
1.1200600,3.894169,8.201338,3.056198,9.579501,71.395409,64.600639
1.1303260,4.515464,8.474277,3.203442,10.122491,71.550560,61.949360
1.1401800,5.014656,8.366538,3.489549,10.359666,70.315536,59.062775
1.1501340,5.305551,7.969100,3.834314,10.312972,68.173622,56.345699
1.1601429,5.403713,7.547721,4.124012,10.157543,66.045883,54.399620
1.1707590,5.410896,7.290344,4.280833,10.037552,64.755508,53.417183
1.1800580,5.430049,7.326257,4.268862,10.068896,64.914818,53.455029
1.1902360,5.535394,7.599196,4.267664,10.324792,65.585091,53.929714
1.2004330,5.741296,7.869741,4.268862,10.635717,66.336128,53.887730
1.2100680,5.835866,8.036138,4.253299,10.804046,66.816544,54.012737
1.2201959,5.907693,7.993042,4.107253,10.754492,67.547928,53.531731
1.2302760,5.839458,7.820660,3.937265,10.524449,68.030899,53.252377
1.2402229,5.568913,7.660248,4.003105,10.281879,67.086815,53.983276
1.2513080,5.288792,7.571663,3.724181,9.958460,68.039238,55.065777
1.2602649,5.135562,7.606379,3.209427,9.722727,70.725433,55.974148
1.2700590,5.042189,7.791929,3.082535,9.779563,71.627007,57.092934
1.2802720,5.064934,8.076839,2.552219,9.869282,75.012856,57.908443
1.2902520,5.312734,8.497022,2.285265,10.278470,77.153770,57.984459
