Keuwl Accelerometer Data File
2019-06-26 17-40-16

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.769315,9.482236,-0.778116,9.677228,94.611954,79.430580
0.0099207,2.038663,8.331821,-0.351948,8.584827,92.349586,76.250786
0.0198111,3.250129,7.428011,0.614113,8.131164,85.668564,66.368202
0.0297018,4.244920,7.321469,1.256956,8.555886,81.552032,59.895241
0.0396576,4.746505,7.757214,1.229423,9.176882,82.300964,58.538258
0.0496256,4.812346,8.091205,1.072602,9.475059,83.500031,59.257401
0.0596270,4.487931,8.391677,1.064223,9.575716,83.619102,61.861797
0.0696657,4.237737,9.063251,0.752976,10.033340,85.696053,64.940445
0.0796326,4.299986,9.069236,0.580594,10.053756,86.689384,64.633018
0.0896545,4.965574,9.202114,0.840365,10.490092,85.405090,61.648151
0.0996250,5.796362,9.708488,1.265336,11.377769,83.614861,59.161079
0.1096812,6.370971,9.683349,2.003947,11.763176,80.191383,56.657860
0.1197269,6.861782,10.064027,2.543839,12.443464,78.203766,55.713333
0.1297877,6.879739,10.298658,2.840720,12.706803,77.081841,56.256172
0.1398091,6.373365,9.361329,3.412935,11.828034,73.229057,55.752247
0.1498008,6.039374,8.507795,3.897760,11.137735,69.515137,54.630447
0.1597391,5.076905,8.337808,3.342306,10.318188,71.099617,58.662697
0.1697343,3.672705,7.821857,4.124012,9.574846,64.487175,64.847885
0.1797349,3.339911,7.102399,2.728193,8.309159,70.832214,64.814690
0.1897777,3.041833,8.086416,0.689530,8.667083,85.436874,69.385414
0.1997991,2.942474,9.113529,0.609324,9.596137,86.359451,72.106354
0.2098148,3.241749,9.886856,0.652420,10.425186,86.412018,71.846474
0.2198351,3.630807,10.218452,0.311246,10.848798,88.355988,70.438927
0.2298798,3.894169,10.206482,0.043096,10.924224,89.773972,69.116203
0.2401001,4.022259,9.958682,0.136469,10.741160,89.272018,68.006477
0.2500518,3.965995,9.557653,0.423774,10.356517,87.654884,67.463753
0.2598636,3.790021,9.117120,0.702698,9.898480,85.929123,67.427162
0.2698045,3.617639,8.769960,0.908600,9.530219,84.529182,67.583687
0.2798680,3.515885,8.556877,1.033098,9.308538,83.627960,67.663017
0.2898363,3.505111,8.467094,1.013944,9.219847,83.686180,67.511978
0.3002148,3.542221,8.434772,0.906205,9.193146,84.342941,67.219803
0.3100102,3.687071,8.469488,0.798466,9.271692,85.059639,66.474785
0.3198383,3.882198,8.532935,0.663194,9.397993,85.953407,65.536064
0.3297869,4.223372,8.650250,0.507571,9.639571,86.981697,63.976662
0.3398867,4.712986,8.834604,0.362722,10.019682,87.925385,61.921471
0.3498191,5.278018,8.918402,0.251391,10.366221,88.610382,59.382442
0.3597958,5.963956,8.678981,0.260968,10.533831,88.580391,55.504223
0.3697651,6.764817,8.088810,0.294487,10.548854,88.400299,50.093658
0.3797223,7.490260,7.207744,0.445322,10.404512,87.546944,43.898830
0.3896709,7.854179,6.244078,0.730232,10.060312,85.837502,38.484726
0.3998037,7.444770,4.900931,1.389834,9.020829,81.137169,33.357117
0.4098151,7.181408,4.806360,1.236605,8.729427,81.856125,33.793533
0.4198443,7.121553,5.067328,0.596156,8.760692,86.098068,35.433681
0.4299754,7.349002,5.600038,-0.296881,9.244262,91.840378,37.307884
0.4398769,7.897274,6.324284,-1.106121,10.177771,96.239235,38.688393
0.4498217,8.538920,7.101202,-1.505953,11.207503,97.722198,39.747845
0.4597691,9.121908,7.678205,-1.607706,12.031157,97.679321,40.088402
0.4697628,9.403227,7.900866,-1.606509,12.386494,97.452171,40.037956
0.4797456,9.172187,7.665037,-1.826776,12.092101,98.689049,39.884914
0.4897980,8.644265,7.432799,-2.244564,11.619289,101.138168,40.690697
0.5002093,8.068460,7.375339,-2.644396,11.246710,103.599060,42.430279
0.5100439,7.590816,7.332242,-2.834735,10.927855,105.034729,44.007328
0.5199221,7.570466,7.163452,-2.788048,10.788893,104.976234,43.417648
0.5298143,8.165425,6.793547,-2.547431,10.923180,103.486328,39.760098
0.5397474,9.254786,6.381745,-2.090138,11.434440,100.532501,34.588654
0.5498904,10.488997,6.021417,-1.541866,12.192370,97.265167,29.858835
0.5598664,11.613075,5.825093,-0.905008,13.023603,93.984688,26.638241
0.5699559,12.570756,5.772420,-0.666785,13.848804,92.759712,24.664320
