Keuwl Accelerometer Data File
2019-06-26 17-16-07

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,3.180697,8.923190,1.921347,9.666009,78.534752,70.381241
0.0090440,3.139996,8.956709,2.029086,9.705637,77.932571,70.680626
0.0191670,2.740164,9.234436,1.744176,9.789048,79.736450,73.472626
0.0290430,2.359486,8.881291,1.612495,9.329772,80.047409,75.121948
0.0391870,2.522291,8.801085,1.659182,9.304512,79.728073,74.008301
0.0491450,2.820370,8.942344,1.833959,9.554235,78.933250,72.494987
0.0591470,2.816778,8.900445,1.987187,9.544688,77.983215,72.438667
0.0692220,2.659958,8.710106,2.141613,9.355631,76.766991,73.017982
0.0796160,2.852691,8.864532,2.227805,9.575013,76.545769,72.161324
0.0891370,3.305195,9.270349,2.302025,10.107572,76.835213,70.377113
0.0992120,3.646369,9.500193,2.456451,10.468229,76.428551,69.002174
0.1091360,3.779247,9.490616,2.649184,10.553326,75.461624,68.287117
0.1192440,3.770868,9.600749,2.735375,10.671275,75.147552,68.556686
0.1291240,3.414132,10.472239,2.540248,11.303846,77.013336,71.943130
0.1391680,2.792836,10.008960,2.163161,10.614070,78.240662,74.409111
0.1490980,2.464831,9.392453,2.078167,9.930375,77.920204,75.295624
0.1604440,2.240973,8.670602,2.342726,9.256871,75.340172,75.508652
0.1691740,2.240973,8.670602,2.261323,9.236606,75.828690,75.508652
0.1791910,2.598906,9.127894,2.115277,9.723536,77.435295,74.107216
0.1891310,2.810793,9.239224,2.057816,9.874129,77.971115,73.078987
0.1994510,3.217807,9.427169,2.097321,10.179615,78.110115,71.153519
0.2091230,3.632004,9.572019,2.251747,10.482622,77.595764,69.221268
0.2195740,3.769670,9.478644,2.308010,10.458587,77.250969,68.312210
0.2291280,3.556587,9.159019,2.334347,10.098817,76.635185,68.778046
0.2394940,3.197456,8.894460,2.373851,9.745271,75.901474,70.227074
0.2490330,2.905364,8.823831,2.376245,9.588934,75.651970,71.775185
0.2594880,2.698265,8.860941,2.212242,9.523178,76.567429,73.063866
0.2691420,2.566584,8.959103,2.008735,9.533514,77.836479,74.014168
0.2790940,2.498349,9.091981,1.842338,9.607293,78.944221,74.635147
0.2892240,2.495955,9.156625,1.762132,9.652910,79.481712,74.752487
0.2997430,2.560599,9.186552,1.744176,9.694924,79.635712,74.425072
0.3099270,2.634819,9.187749,1.818396,9.729520,79.228378,73.998421
0.3193310,2.687491,9.131485,1.930924,9.712626,78.532883,73.600296
0.3292140,2.736573,9.106346,2.043451,9.725742,77.871353,73.273811
0.3398820,2.801216,9.076419,2.151190,9.739394,77.239563,72.848434
0.3497980,2.896984,9.056067,2.237381,9.767842,76.758507,72.260826
0.3594760,2.971204,9.053674,2.305616,9.803720,76.397903,71.831375
0.3690580,2.995146,9.051279,2.340332,9.817011,76.208130,71.690178
0.3791310,2.995146,9.048885,2.309207,9.807429,76.381561,71.685654
0.3890450,2.974796,9.033323,2.240973,9.770992,76.741219,71.772591
0.3993540,2.906561,9.010578,2.167950,9.712807,77.102638,72.121750
0.4092760,2.829947,8.978256,2.102109,9.645545,77.412178,72.505150
0.4196570,2.758120,9.009381,2.074576,9.647800,77.582657,72.978622
0.4291940,2.723404,9.109938,2.035071,9.723653,77.919205,73.356033
0.4393500,2.773683,9.244013,2.021903,9.860689,78.167755,73.298035
0.4490960,2.841918,9.303867,2.047042,9.941269,78.117012,73.014420
0.4595890,2.899378,9.270349,2.132037,9.944412,77.619942,72.632492
0.4691630,2.940080,9.169792,2.225410,9.883401,76.987335,72.222763
0.4793980,2.986767,9.100361,2.274492,9.844321,76.641335,71.830002
0.4892070,2.987964,9.101558,2.272097,9.845238,76.656921,71.825432
0.4997660,2.949656,9.149442,2.220622,9.866302,76.992928,72.131378
0.5092190,2.904167,9.198523,2.149993,9.882786,77.434868,72.477997
0.5191020,2.868254,9.255983,2.085350,9.912052,77.855072,72.782784
0.5291030,2.832341,9.291897,2.026692,9.923154,78.215065,73.047813
0.5391280,2.753332,9.289502,2.007538,9.894741,78.294029,73.490608
0.5491030,2.676718,9.255983,2.013524,9.843390,78.196495,73.870773
0.5605560,2.628834,9.240421,2.038663,9.821012,78.019325,74.119331
0.5697290,2.616863,9.247604,2.074576,9.832091,77.819016,74.199692
0.5806960,2.615665,9.257181,2.072181,9.840277,77.843559,74.222084
0.5890380,2.646790,9.252393,2.078167,9.845357,77.814293,74.036003
0.5992150,2.657564,9.224859,2.086547,9.824172,77.737602,73.928986
0.6091000,2.639607,9.221268,2.085350,9.815701,77.734009,74.026115
0.6191710,2.597709,9.255983,2.062605,9.832378,77.890732,74.323128
0.6290260,2.565387,9.309854,1.989582,9.859666,78.358353,74.594131
0.6391749,2.564190,9.349358,1.941698,9.887151,78.674301,74.662971
0.6490800,2.561796,9.320627,1.974019,9.865782,78.457924,74.631615
0.6592950,2.650381,9.221268,2.094927,9.820642,77.683090,73.964264
0.6692260,2.663549,9.244013,2.102109,9.847088,77.673912,73.926308
0.6795210,2.692280,9.303867,2.086547,9.907774,77.842659,73.861031
0.6891320,2.736573,9.342175,2.078167,9.954087,77.949409,73.673286
0.6990590,2.767697,9.352949,2.068590,9.970801,78.026176,73.515617
0.7090320,2.754529,9.348161,2.073379,9.963655,77.989311,73.581863
0.7193400,2.687491,9.314642,2.059013,9.910837,78.009254,73.905914
0.7291430,2.601300,9.313444,2.005144,9.875607,78.285210,74.394638
0.7393260,2.558204,9.361329,1.932121,9.895049,78.740005,74.715752
0.7490610,2.592921,9.421184,1.873463,9.949462,79.146530,74.611900
0.7590570,2.598906,9.417592,1.866280,9.946273,79.185135,74.572472
