Keuwl Accelerometer Data File
2019-06-26 16-22-37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,3.470395,9.206903,0.305261,9.843977,88.222977,69.346863
0.0099600,3.554192,9.339781,0.337582,9.998888,88.065216,69.166008
0.0200330,3.624821,9.115923,0.717063,9.836339,85.819466,68.315437
0.0299440,3.924097,8.817844,1.312023,9.740345,82.258736,66.010094
0.0401560,4.350265,8.644265,1.944092,9.870543,78.640816,63.285973
0.0501140,4.674679,8.584411,2.381034,10.060519,76.309853,61.429302
0.0599900,4.890157,8.560468,2.744952,10.233768,74.441330,60.262886
0.0700090,5.000290,8.524555,3.026271,10.335825,72.974678,59.605183
0.0803130,5.090073,8.536526,3.147178,10.425250,72.429420,59.193653
0.0902030,5.130774,8.667010,3.120842,10.544267,72.783974,59.374939
0.1001290,5.197812,8.756793,2.995146,10.614593,73.610092,59.307697
0.1117950,5.001487,8.802282,2.691083,10.475542,75.114281,60.394611
0.1200590,4.420894,8.790312,2.260126,10.095646,77.063477,63.300900
0.1300170,3.746926,8.674192,1.766921,9.612652,79.408119,66.637466
0.1399980,3.349488,8.540117,1.399411,9.279602,81.326416,68.584572
0.1501480,3.377022,8.699332,1.303643,9.422427,82.047310,68.784126
0.1604520,3.558981,8.838196,1.222240,9.605932,82.689980,68.066246
0.1700720,3.667917,8.829816,1.242591,9.641747,82.595352,67.441940
0.1803200,3.787627,8.844181,1.241394,9.700861,82.647850,66.816391
0.1900550,3.927688,8.836999,1.376666,9.768035,81.898003,66.036789
0.2002410,4.094085,8.755595,1.480814,9.778281,81.289665,64.939377
0.2101890,4.149151,8.698134,1.666364,9.780069,80.189873,64.498100
0.2204060,4.288015,8.858546,1.853112,10.014736,79.336624,64.170509
0.2301180,4.408922,9.232041,1.851915,10.397057,79.739777,64.472382
0.2400060,4.085705,9.062054,1.618480,10.071409,80.752441,65.731354
0.2500190,3.931279,8.681376,1.493982,9.646409,81.090485,65.637054
0.2601690,3.827132,8.469488,1.567005,9.425215,80.429756,65.683083
0.2700410,3.755305,8.395268,1.586159,9.332671,80.214645,65.900452
0.2800580,3.830723,8.503007,1.588553,9.460394,80.333321,65.747772
0.2900330,3.992331,8.593987,1.619677,9.613463,80.300537,65.082809
0.3000620,4.161122,8.699332,1.763330,9.803196,79.637642,64.436966
0.3102960,4.370615,8.851364,1.972822,10.066825,78.698456,63.720821
0.3200460,4.519056,8.920795,2.006341,10.199405,78.655273,63.134346
0.3299760,4.402937,9.088389,1.975216,10.290100,78.933212,64.151794
0.3400860,4.501099,8.953117,2.041057,10.226638,78.487457,63.309448
0.3499970,4.420894,8.736442,2.063802,10.006447,78.097481,63.159264
0.3602920,4.320337,8.638280,2.061408,9.875960,77.952072,63.428596
0.3700660,4.359841,8.695741,2.079364,9.947255,77.933960,63.371883
0.3800970,4.436456,8.809465,2.074576,10.079320,78.122208,63.270130
0.3899820,4.350265,8.882488,1.805228,10.053967,79.656227,63.906357
0.4001480,4.203021,8.930372,1.674744,10.011079,80.369766,64.796288
0.4101780,4.088099,8.935161,1.593341,9.954315,80.789307,65.414513
0.4199720,4.025850,8.911219,1.526304,9.896812,81.128342,65.687820
0.4299700,4.027047,8.863335,1.528698,9.854579,81.075920,65.565376
0.4400030,4.050989,8.820239,1.563414,9.831144,80.849594,65.331467
0.4499910,4.042610,8.772355,1.605312,9.791524,80.563805,65.258087
0.4601340,4.030639,8.752005,1.661576,9.777754,80.215996,65.272087
0.4699820,4.012682,8.738836,1.686715,9.762883,80.051193,65.336449
0.4800200,3.995923,8.742428,1.702277,9.761926,79.957466,65.436165
0.4900610,3.983952,8.750807,1.716643,9.767055,79.877197,65.521805
0.5015390,3.971981,8.790312,1.708263,9.796141,79.957352,65.683746
0.5100590,3.989937,8.831013,1.692701,9.837256,80.091782,65.686089
0.5205380,4.027047,8.863335,1.698686,9.882376,80.102249,65.565376
0.5301970,4.045004,8.896853,1.721431,9.923677,80.010536,65.550819
0.5417539,4.062960,8.917204,1.734599,9.951532,79.961800,65.504494
0.5500910,4.048595,8.916007,1.762132,9.949443,79.798607,65.578072
0.5600800,4.034230,8.899248,1.764527,9.929008,79.763344,65.614143
0.5699870,4.017470,8.863335,1.757344,9.888732,79.763496,65.616714
0.5800120,4.018668,8.816648,1.765724,9.848896,79.672096,65.496284
0.5899749,4.005499,8.808268,1.771709,9.837101,79.624138,65.546661
0.6003879,4.042610,8.831013,1.758541,9.870255,79.737061,65.402916
0.6100389,4.086902,8.877700,1.782483,9.934464,79.663780,65.280739
0.6201169,4.124012,8.920795,1.793257,9.990188,79.659256,65.189278
0.6300640,4.112041,8.945934,1.796848,10.008361,79.657341,65.313896
0.6399980,4.092888,8.931569,1.795651,9.987443,79.642418,65.380402
0.6504300,4.103662,8.913613,1.795651,9.975816,79.630211,65.279541
0.6601329,4.078523,8.906430,1.778892,9.956069,79.707458,65.395531
0.6700210,4.060566,8.907627,1.701080,9.936181,80.142365,65.494003
0.6802469,4.041412,8.848969,1.693898,9.874541,80.122520,65.453346
0.6901330,4.019865,8.805874,1.693898,9.827106,80.074356,65.463394
0.7001749,4.030639,8.771158,1.678335,9.797759,80.136711,65.319649
0.7102789,4.000711,8.773552,1.667562,9.785789,80.188545,65.487167
0.7200590,3.974375,8.772355,1.657985,9.772348,80.231903,65.626778
0.7303530,3.981557,8.791509,1.649605,9.791048,80.300491,65.634865
0.7399800,4.004303,8.835801,1.634043,9.837475,80.438637,65.620407
0.7503390,4.013879,8.857349,1.623269,9.858949,80.523140,65.621422
0.7603459,4.006697,8.852561,1.656788,9.857302,80.323959,65.648346
0.7700030,4.024653,8.835801,1.697489,9.856504,80.083069,65.511024
0.7801250,4.027047,8.805874,1.713051,9.833365,79.967422,65.424728
0.7901750,4.019865,8.819042,1.716643,9.842849,79.955963,65.495720
0.8000400,4.010288,8.841787,1.726219,9.861006,79.918137,65.602821
0.8102260,4.030639,8.870518,1.711854,9.892551,80.035103,65.563622
0.8205270,4.035427,8.869320,1.687912,9.889315,80.172615,65.535072
0.8301030,4.025850,8.865729,1.689109,9.882394,80.158623,65.577614
0.8399930,4.029441,8.874108,1.692701,9.891989,80.147156,65.578758
0.8504230,4.023456,8.893262,1.691504,9.906538,80.168793,65.657234
0.8601159,4.028244,8.898050,1.685518,9.911762,80.209137,65.643219
0.8700010,4.017470,8.889671,1.687912,9.900271,80.183601,65.680573
0.8802980,3.995923,8.863335,1.714248,9.872423,80.000473,65.732368
0.8899960,3.976769,8.850166,1.769315,9.862587,79.665382,65.803520
0.9000430,3.987543,8.829816,1.783680,9.851277,79.568443,65.696075
0.9102720,3.988740,8.827422,1.788469,9.850485,79.539276,65.683792
0.9202110,3.962404,8.823831,1.766921,9.832733,79.647842,65.817200
0.9303890,3.955221,8.839393,1.696292,9.831381,80.064552,65.893684
0.9399830,3.943250,8.856153,1.654393,9.834515,80.315475,65.998718
0.9501180,3.934870,8.883685,1.612495,9.849020,80.577034,66.109901
0.9604300,3.914520,8.898050,1.594538,9.850955,80.684753,66.253860
0.9700660,3.921702,8.889671,1.589750,9.845471,80.707756,66.195198
0.9803380,3.909731,8.877700,1.622072,9.835175,80.507088,66.231346
0.9908180,3.910928,8.864532,1.660379,9.830165,80.275749,66.193481
1.0005679,3.940856,8.870518,1.702277,9.854652,80.052925,66.046120
1.0101820,3.931279,8.868123,1.721431,9.851999,79.937103,66.092072
1.0201160,3.932476,8.868123,1.711854,9.850808,79.992447,66.085609
1.0301039,3.958812,8.886080,1.699883,9.875435,80.088173,65.986687
1.0401690,3.964798,8.886080,1.714248,9.880318,80.008545,65.954491
1.0500679,3.958812,8.878897,1.707066,9.870212,80.040543,65.969452
1.0604850,3.944447,8.880095,1.696292,9.863678,80.097412,66.049698
1.0701779,3.933673,8.883685,1.696292,9.862609,80.096329,66.116356
1.0800340,3.920505,8.887277,1.716643,9.864122,79.977844,66.195953
1.0901411,3.918111,8.893262,1.765724,9.877220,79.702034,66.223114
1.1004380,3.919308,8.886080,1.746570,9.867822,79.805138,66.199570
1.1102409,3.915717,8.893262,1.702277,9.865126,80.063591,66.236031
1.1203960,3.921702,8.910022,1.671153,9.877296,80.259193,66.243538
1.1300000,3.936068,8.923190,1.667562,9.894277,80.297173,66.197464
1.1403929,3.965995,8.950723,1.650802,9.928227,80.428772,66.102242
1.1500239,3.982754,8.947132,1.659182,9.933096,80.384483,66.004089
1.1609359,3.945644,8.938752,1.673547,9.913131,80.280708,66.182915
1.1699919,3.945644,8.907627,1.673547,9.885074,80.252853,66.108994
1.1800430,3.948039,8.890868,1.695095,9.874608,80.115532,66.056122
1.1899850,3.974375,8.893262,1.742979,9.895642,79.855225,65.920265
1.2000420,3.962404,8.881291,1.758541,9.882836,79.750267,65.955879
1.2102749,3.928885,8.858546,1.759738,9.849195,79.707802,66.082069
1.2201589,3.926491,8.859743,1.746570,9.846973,79.783318,66.097878
1.2305789,3.909731,8.874108,1.719037,9.848395,79.947533,66.222794
1.2406329,3.881001,8.900445,1.703475,9.858088,80.049362,66.440598
1.2500029,3.879804,8.929175,1.695095,9.882125,80.123131,66.514641
1.2604530,3.859453,8.954314,1.651999,9.889602,80.384003,66.683182
1.2700409,3.853468,8.937555,1.643619,9.870694,80.414742,66.676491
1.2804989,3.841497,8.904037,1.646014,9.836073,80.366539,66.663033
1.2901930,3.824737,8.869320,1.680730,9.803994,80.128845,66.672729
1.3000820,3.828329,8.857349,1.699883,9.797874,80.008904,66.625008
1.3100619,3.836708,8.877700,1.684321,9.816864,80.120636,66.627266
1.3201170,3.859453,8.904037,1.663970,9.846118,80.270462,66.565689
1.3301749,3.878607,8.921992,1.656788,9.868662,80.335205,66.504242
1.3401679,3.857059,8.929175,1.656788,9.866713,80.333275,66.637520
1.3501229,3.861847,8.948329,1.672350,9.888539,80.263344,66.656326
1.3600949,3.867833,8.954314,1.660379,9.894278,80.339371,66.637978
1.3703730,3.858256,8.956709,1.666364,9.893712,80.303650,66.695213
1.3800980,3.854665,8.957906,1.689109,9.897252,80.173546,66.717369
1.3907260,3.853468,8.941146,1.680730,9.880190,80.205727,66.684853
1.4001919,3.855862,8.930372,1.667562,9.869143,80.272224,66.646790
1.4100029,3.839103,8.914810,1.668759,9.848721,80.244789,66.701202
1.4201009,3.836708,8.895657,1.661576,9.829235,80.267746,66.669403
