Keuwl Accelerometer Data File
2019-06-26 17-21-22

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,8.249222,6.084864,1.988384,10.441690,79.022270,36.413555
0.0178440,7.317877,6.208165,1.880645,9.779032,78.912140,40.309807
0.0278050,7.062895,6.069301,2.075773,9.540950,77.433968,40.673195
0.0378250,7.047333,5.998672,2.260126,9.526654,76.276161,40.404346
0.0481650,7.214927,6.039374,2.330755,9.693380,76.087006,39.931572
0.0579430,7.420828,6.113594,2.379837,9.904966,76.097702,39.483147
0.0680170,7.644686,6.265626,2.522291,10.201041,75.684669,39.338230
0.0778110,7.803900,6.376956,2.626439,10.414635,75.393013,39.253975
0.0879260,7.745243,6.209362,2.693477,10.285902,74.819481,38.719154
0.0978920,7.736863,6.082469,2.800019,10.232086,74.118370,38.173275
0.1079090,7.864953,6.131551,2.949656,10.399705,73.523094,37.940132
0.1177920,7.756016,6.060922,2.802413,10.234455,74.108208,38.005768
0.1279630,7.381324,5.789180,2.574964,9.727743,74.650688,38.107128
0.1378500,7.137115,5.843049,2.375048,9.524731,75.560600,39.306671
0.1481240,7.170634,6.181829,2.242170,9.729354,76.676193,40.764740
0.1577820,7.305906,6.311116,2.115277,9.883362,77.641724,40.821682
0.1678520,7.352593,6.133945,2.056619,9.793651,77.877930,39.836754
0.1780700,7.414843,5.969942,2.315193,9.796949,76.330688,38.838722
0.1882570,7.459136,5.908890,2.486378,9.835434,75.356850,38.385147
0.1978190,7.517793,5.887342,2.446874,9.857241,75.627136,38.065243
0.2078590,7.522582,5.894525,2.365471,9.845309,76.097893,38.081448
0.2177250,7.480683,5.949591,2.365471,9.846508,76.099617,38.496185
0.2280720,7.412448,6.025009,2.313996,9.828514,76.382614,39.105003
0.2377870,7.343017,6.042965,2.239776,9.770052,76.747131,39.452808
0.2481410,7.325060,6.112397,2.226608,9.796718,76.862953,39.843311
0.2590500,7.311892,6.159084,2.185906,9.806950,77.120956,40.108707
0.2679490,7.296329,6.117185,2.124854,9.755582,77.419617,39.976204
0.2779060,7.269993,6.011840,2.127248,9.670585,77.292671,39.588669
0.2883240,7.303512,5.984307,2.211045,9.697523,76.820587,39.330296
0.2978940,7.331046,5.991490,2.276886,9.737885,76.478081,39.258316
0.3082480,7.351396,5.993884,2.304419,9.761148,76.344666,39.191723
0.3178490,7.351396,5.984307,2.322376,9.759528,76.233841,39.146858
0.3282660,7.387310,5.980716,2.310405,9.781578,76.337654,38.993397
0.3377120,7.477092,5.953183,2.276886,9.825045,76.600288,38.526440
0.3482260,7.524976,5.944803,2.361880,9.876458,76.164070,38.309074
0.3577260,7.556100,5.995081,2.406173,9.941092,75.992844,38.428814
0.3679530,7.560889,6.022614,2.379837,9.955026,76.169006,38.539021
0.3778550,7.504625,6.040571,2.341529,9.914165,76.338799,38.831043
0.3879820,7.459136,6.052542,2.297236,9.876703,76.550316,39.056797
0.3978310,7.465121,6.045359,2.327164,9.883830,76.381752,39.001038
0.4083690,7.528567,6.027403,2.337938,9.923450,76.373169,38.680912
0.4178390,7.607576,6.057330,2.352303,10.004989,76.401711,38.527622
0.4284630,7.597999,6.104017,2.393005,10.035690,76.204956,38.777409
0.4384970,7.544129,6.138733,2.385822,10.014493,76.217491,39.135593
0.4479430,7.505822,6.105214,2.366668,9.960528,76.254791,39.124805
0.4579420,7.523779,6.069301,2.353500,9.949001,76.316612,38.892513
0.4683320,7.551312,6.023811,2.328361,9.936291,76.447929,38.579967
0.4778440,7.592013,5.979519,2.354697,9.946754,76.306366,38.224197
0.4880910,7.601591,5.985504,2.404976,9.969671,76.040901,38.216949
0.4977860,7.566875,5.997475,2.409764,9.951595,75.986618,38.400208
0.5082760,7.507020,6.095637,2.348712,9.951311,76.348221,39.076313
0.5178290,7.548918,6.120777,2.274492,9.981151,76.827789,39.035660
0.5281170,7.580042,6.045359,2.221819,9.946854,77.093010,38.573631
0.5383980,7.584831,6.015432,2.248155,9.938273,76.925850,38.417484
0.5495280,7.535750,6.020220,2.294842,9.914478,76.616737,38.620937
0.5581580,7.487866,6.050148,2.280477,9.893079,76.672760,38.937988
0.5681240,7.375339,6.058527,2.262521,9.809198,76.664482,39.401653
0.5778370,7.316680,6.089652,2.267309,9.785620,76.602936,39.770515
0.5883250,7.331046,6.074090,2.195483,9.770309,77.014191,39.643223
0.5979020,7.420828,6.023811,2.169147,9.801030,77.213531,39.067749
0.6082300,7.497443,6.010643,2.231396,9.865019,76.926971,38.718887
0.6178520,7.642292,5.992687,2.278083,9.975299,76.798737,38.101692
0.6282940,7.686584,5.993884,2.322376,10.020162,76.598686,37.946575
0.6380350,7.631518,5.998672,2.325967,9.981696,76.524872,38.168736
0.6489319,7.576451,6.038177,2.296039,9.956605,76.667328,38.553665
0.6580039,7.508216,6.053739,2.244564,9.902482,76.899086,38.878605
0.6681920,7.429208,6.009446,2.201468,9.805765,77.026077,38.969212
0.6781410,7.411252,5.981913,2.177526,9.769931,77.121727,38.908367
0.6883940,7.396886,5.989096,2.166753,9.761045,77.174675,38.996330
0.6985880,7.383718,6.025009,2.170344,9.773967,77.170326,39.213955
0.7085130,7.431602,6.088455,2.176329,9.850604,77.236130,39.326576
0.7181920,7.505822,6.127959,2.147599,9.924788,77.503067,39.229145
0.7284420,7.562086,6.051345,2.139219,9.918678,77.544823,38.667549
0.7378629,7.603985,5.929241,2.146402,9.878437,77.450584,37.945480
0.7478629,7.644686,5.869385,2.275689,9.903013,76.714844,37.516087
0.7579890,7.654263,5.912481,2.389413,9.962654,76.123077,37.684040
