Keuwl Accelerometer Data File
2019-06-27 16-04-26

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.906982,8.396465,4.596867,9.760553,61.903126,77.204208
0.0170110,1.989582,7.508216,5.756858,9.668152,53.455601,75.158455
0.0270520,1.583764,7.017405,6.370971,9.609451,48.471684,77.281944
0.0368500,1.237802,6.628347,6.752846,9.542959,44.957912,79.422211
0.0468590,1.346738,6.530185,7.024588,9.685136,43.506546,78.347107
0.0571180,1.841141,6.690597,7.289147,10.064073,43.591507,74.613983
0.0671430,2.333150,6.795941,7.588422,10.450481,43.436954,71.051880
0.0770640,2.689886,6.530185,7.870938,10.574993,41.901226,67.612473
0.0873920,2.944868,6.509834,7.945158,10.685305,41.964493,65.659325
0.0970840,2.997540,6.478710,7.790732,10.566667,42.498646,65.171173
0.1069300,2.967613,6.470330,7.558495,10.382810,43.282547,65.361473
0.1172600,2.668338,6.932411,7.226898,10.363706,45.787014,68.947906
0.1270270,2.138022,7.362170,6.771999,10.229011,48.544468,73.806358
0.1370760,1.702277,7.510611,6.466739,10.056129,49.979298,77.229683
0.1477800,1.635240,7.474698,6.374562,9.958923,50.201809,77.659821
0.1570570,1.734599,7.411252,6.418855,9.956765,49.858860,76.827072
0.1675450,1.802834,7.350199,6.432023,9.932097,49.639126,76.218735
0.1773230,1.770512,7.217321,6.439206,9.832995,49.091194,76.216713
0.1870030,1.665167,7.046135,6.461950,9.704515,48.250858,76.703606
0.1973990,1.583764,6.894104,6.482301,9.594645,47.497948,77.062073
0.2073750,1.648408,6.816292,6.394913,9.490732,47.638496,76.404976
0.2171110,1.788469,6.953959,6.272809,9.534374,48.858944,75.576851
0.2271170,1.976413,7.134721,6.137536,9.616643,50.340763,74.516556
0.2372340,2.165555,7.302315,6.051345,9.727909,51.533264,73.481888
0.2470470,2.310405,7.380127,6.062119,9.826165,51.907249,72.616875
0.2569390,2.584541,7.709330,6.190208,10.219213,52.717731,71.466354
0.2673190,2.424129,7.637504,6.264429,10.171082,51.982235,72.390663
0.2774820,2.226608,7.252037,6.343437,9.888833,50.098122,72.931839
0.2871150,2.120066,6.950367,6.532579,9.771227,48.044544,73.036758
0.2972680,2.092532,6.836643,6.698977,9.797687,46.864155,72.981903
0.3070640,2.139219,6.889316,6.775591,9.896846,46.794174,72.749771
0.3173630,2.240973,7.040150,6.761226,10.014981,47.537216,72.343040
0.3270120,2.321178,7.149086,6.696582,10.066853,48.301476,72.012329
0.3369370,2.378639,7.193379,6.672640,10.095879,48.629375,71.702461
0.3470270,2.418144,7.189788,6.698977,10.120116,48.551498,71.410645
0.3569550,2.381034,7.220912,6.679823,10.120817,48.699497,71.750473
0.3672060,2.403779,7.129933,6.621165,10.022670,48.652912,71.369034
0.3773450,2.363077,6.979098,6.579266,9.878192,48.237877,71.294235
0.3872110,2.272097,6.892907,6.555324,9.779922,47.911018,71.756317
0.3969580,2.254141,6.868965,6.524199,9.738018,47.935097,71.832069
0.4072800,2.251747,6.913258,6.506243,9.756777,48.176094,71.958832
0.4171690,2.264915,6.992266,6.479907,9.798512,48.599728,72.051971
0.4272080,2.284068,7.043741,6.478710,9.838950,48.816277,72.033722
0.4369680,2.294842,7.064092,6.488286,9.862330,48.861176,72.003082
0.4470580,2.272097,7.054515,6.487090,9.849413,48.804752,72.147446
0.4573830,2.244564,7.031770,6.518214,9.847384,48.553272,72.296745
0.4674690,2.206257,6.973113,6.549339,9.817622,48.156342,72.442894
0.4769460,2.142811,6.916849,6.545747,9.761210,47.887562,72.787239
0.4869540,2.096124,6.894104,6.551733,9.738974,47.721615,73.088326
0.4970680,2.100912,6.932411,6.596025,9.796924,47.679649,73.140228
0.5069930,2.184709,7.016208,6.641516,9.905043,47.892895,72.704437
0.5169620,2.324770,7.108385,6.702568,10.042813,48.133335,71.889870
0.5270350,2.439692,7.170634,6.712144,10.120423,48.453503,71.209961
0.5369770,2.499547,7.177817,6.730101,10.151998,48.476002,70.800240
0.5470180,2.483984,7.164649,6.706159,10.122991,48.511616,70.878563
0.5569910,2.384625,7.132327,6.661866,10.046741,48.464245,71.513138
0.5669270,2.284068,7.114370,6.604405,9.972432,48.527061,72.200775
0.5770410,2.207454,7.104794,6.555324,9.915807,48.616302,72.740021
0.5872910,2.160767,7.059304,6.485892,9.826978,48.699451,72.981285
0.5969610,2.104503,7.018602,6.424840,9.745168,48.754650,73.308823
0.6072000,2.066196,6.987478,6.415264,9.708224,48.638542,73.527061
0.6169720,2.056619,6.992266,6.397307,9.697783,48.725525,73.609932
0.6270200,2.076970,7.030573,6.384139,9.721111,48.949093,73.541824
0.6368670,2.099715,7.085640,6.373365,9.758836,49.225277,73.493660
0.6469050,2.133234,7.108385,6.376956,9.784958,49.329334,73.295441
0.6571540,2.142811,7.107188,6.369773,9.781501,49.367397,73.221992
0.6670340,2.160767,7.091625,6.394913,9.790555,49.218845,73.054398
0.6771510,2.145205,7.085640,6.422446,9.800817,49.057827,73.156113
0.6869580,2.123657,7.079654,6.454768,9.813024,48.869549,73.302536
0.6968899,2.140416,7.091625,6.505046,9.858405,48.711742,73.204971
0.7072280,2.178724,7.097611,6.563704,9.909850,48.521313,72.935310
0.7169130,2.175132,7.086837,6.604405,9.928375,48.301941,72.937408
0.7271540,2.166753,7.062895,6.627151,9.924638,48.106560,72.945053
0.7369660,2.130840,7.050924,6.621165,9.904334,48.047688,73.184807
0.7471180,2.088941,7.050924,6.600814,9.881799,48.088882,73.497292
0.7569150,2.005144,7.169437,6.455965,9.853980,49.067978,74.374786
0.7672179,1.987187,7.302315,6.418855,9.923428,49.696342,74.776680
0.7769380,2.000355,7.407660,6.421249,10.005363,50.075268,74.888351
0.7871570,2.072181,7.480683,6.457162,10.097005,50.244514,74.517036
0.7969390,2.090138,7.450756,6.459556,10.080094,50.146782,74.329758
0.8071440,2.063802,7.358579,6.463148,10.009007,49.779335,74.333214
0.8171870,2.011129,7.256825,6.478710,9.933772,49.293056,74.510017
0.8271020,1.960851,7.189788,6.469133,9.868519,49.039974,74.744881
0.8369830,1.960851,7.168240,6.472724,9.855189,48.944988,74.701172
0.8470640,2.000355,7.177817,6.443994,9.851271,49.146423,74.427605
0.8569170,2.060210,7.238869,6.397307,9.877815,49.635803,74.113441
0.8669400,2.109292,7.332242,6.363788,9.935225,50.168808,73.950874
0.8769580,2.149993,7.381324,6.338649,9.964180,50.495148,73.760490
0.8871360,2.169147,7.410054,6.318298,9.976723,50.705692,73.683655
0.8969660,2.181118,7.380127,6.347029,9.975386,50.485828,73.535515
0.9068930,2.141613,7.305906,6.359000,9.919661,50.129829,73.662315
0.9170410,2.080561,7.201759,6.405687,9.860370,49.485565,73.886192
0.9269649,2.023100,7.117962,6.434417,9.806123,48.992088,74.133545
0.9368899,2.009932,7.091625,6.416461,9.772510,48.960236,74.176033
0.9469730,2.027889,7.157466,6.386533,9.804563,49.353981,74.181252
0.9569070,2.082955,7.287950,6.331466,9.876253,50.127617,74.049637
0.9669360,2.153584,7.400477,6.296751,9.952591,50.752281,73.774681
0.9770130,2.211045,7.441179,6.262034,9.973612,51.107567,73.451401
0.9871950,2.218228,7.406463,6.257246,9.946324,51.016148,73.327095
0.9968600,2.182315,7.310695,6.287174,9.886218,50.509270,73.379112
1.0068820,2.120066,7.174225,6.321889,9.794411,49.799911,73.536987
1.0169309,2.012326,7.074866,6.307524,9.689585,49.386040,74.122490
1.0272430,1.933318,7.083246,6.281188,9.662475,49.453873,74.733414
