Keuwl Accelerometer Data File
2019-06-26 17-42-22

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.904588,9.714474,1.030704,9.952929,84.055916,78.907478
0.0089220,1.551443,9.494206,0.906205,9.662719,84.618683,80.719353
0.0188020,1.386243,9.143456,0.999579,9.301807,83.831039,81.379021
0.0286490,1.471237,9.002198,1.083376,9.185740,83.226707,80.718163
0.0388600,1.696292,8.866926,1.122881,9.097288,82.909889,79.169853
0.0486690,2.086547,8.927979,1.191115,9.245606,82.597984,76.845581
0.0589510,2.505532,9.169792,1.252167,9.588050,82.495926,74.717667
0.0687150,2.742558,9.273940,1.267730,9.753703,82.531898,73.525612
0.0791410,2.783259,9.167398,1.248576,9.661608,82.574860,73.111496
0.0898330,2.698265,9.108741,1.221043,9.578139,82.675873,73.499229
0.0990880,2.534262,9.133880,1.212663,9.556191,82.709618,74.492935
0.1087910,2.450465,9.263166,1.218649,9.658993,82.751831,75.182472
0.1191980,2.384625,9.439140,1.262941,9.817272,82.608711,75.821938
0.1287790,2.418144,9.782708,1.227028,10.151571,83.057640,76.115631
0.1389770,2.547431,10.384850,0.939724,10.733945,84.977501,76.217346
0.1489670,2.414552,10.249578,0.869095,10.565947,85.281845,76.744186
0.1588480,2.157176,9.431957,1.589750,9.805229,80.669281,77.117493
0.1686920,2.507926,9.498995,1.928530,10.011984,78.894150,75.210243
0.1787640,3.004723,9.797073,2.200271,10.481040,77.881828,72.949432
0.1888180,3.410540,10.163386,2.310405,10.966502,77.837891,71.449730
0.1987130,3.219004,9.986216,2.821567,10.864977,74.948105,72.133545
0.2091820,2.815581,9.710882,2.827552,10.498752,74.376030,73.830971
0.2189410,2.548628,9.695320,2.455254,10.320998,76.238007,75.271759
0.2287910,2.462436,9.828198,2.195483,10.367122,77.773689,75.934204
0.2390870,2.455254,9.950302,1.868674,10.417712,79.666656,76.139053
0.2487520,2.431312,9.991004,1.516727,10.393840,81.609123,76.322914
0.2588680,2.341529,9.950302,1.392228,10.316471,82.244156,76.757942
0.2689010,2.224213,9.806650,1.392228,10.151641,82.117432,77.221130
0.2820930,2.130840,9.659407,1.315614,9.978750,82.423981,77.559937
0.2998630,1.916559,9.493010,1.114501,9.748464,83.435257,78.585899
0.3097690,1.735796,9.477448,1.061828,9.693424,83.711136,79.621292
0.3202200,1.586159,9.435549,1.010353,9.621138,83.972031,80.457535
0.3287900,1.492785,9.380483,0.961272,9.547036,84.221207,80.957924
0.3390320,1.487996,9.306262,0.981623,9.475454,84.053696,80.915756
0.3494030,1.561020,9.233239,1.077391,9.426042,83.436783,80.404015
0.3589870,1.656788,9.187749,1.181539,9.410404,82.787102,79.777946
0.3688550,1.757344,9.179369,1.292869,9.435072,82.124092,79.162148
0.3790230,1.844732,9.254786,1.335965,9.530945,81.942245,78.727127
0.3887460,1.895011,9.376891,1.316811,9.656663,82.162560,78.574768
0.3988880,1.929727,9.507375,1.307234,9.788917,82.325668,78.526451
0.4086760,1.940500,9.597157,1.304840,9.877934,82.409248,78.569176
0.4188350,1.940500,9.593566,1.338359,9.878930,82.213852,78.565002
0.4286560,1.952471,9.540894,1.401805,9.838996,81.808945,78.434540
0.4388740,1.978808,9.466674,1.503559,9.787456,81.163170,78.193527
0.4494060,2.033874,9.415198,1.608904,9.765817,80.517380,77.810257
0.4589680,2.142811,9.384073,1.705869,9.775605,79.950287,77.137306
0.4696310,2.270900,9.387665,1.823185,9.829000,79.310280,76.401237
0.4798880,2.372654,9.370906,1.884237,9.848538,78.970085,75.791664
0.4890890,2.418144,9.350554,1.978808,9.858802,78.421234,75.500427
0.4990540,2.462436,9.369708,2.054225,9.903275,78.028282,75.275177
0.5088070,2.477999,9.451111,2.097321,9.993134,77.884903,75.308243
0.5190060,2.400187,9.576807,2.043451,10.082253,78.306396,75.930061
0.5288080,2.252944,9.692925,1.932121,10.137142,79.012306,76.914978
0.5388670,2.080561,9.767146,1.863886,10.158737,79.427696,77.974800
0.5487920,1.867477,9.770737,1.788469,10.107096,79.807739,79.179581
0.5591829,1.714248,9.677363,1.792060,9.990069,79.666107,79.954826
