Keuwl Accelerometer Data File
2019-06-28 13-14-42

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.294211,0.880559,0.122395,0.936442,82.489853,71.524567
0.0099577,0.275785,0.780983,0.246864,0.864253,73.402992,70.550598
0.0199455,0.322888,0.808806,0.290428,0.918026,71.556969,68.237350
0.0298959,0.372919,0.839923,0.306170,0.968648,71.574013,66.059143
0.0399336,0.405257,0.854078,0.301899,0.992384,72.289017,64.615829
0.0499525,0.430273,0.866403,0.288964,1.009599,73.368423,63.590099
0.0600019,0.446137,0.884585,0.271148,1.027156,74.693718,63.236115
0.0700326,0.443696,0.888002,0.255894,1.025132,75.544945,63.450695
0.0799590,0.427832,0.888246,0.274930,1.023528,74.418388,64.281761
0.0899937,0.412945,0.879338,0.308244,1.019202,72.395981,64.844841
0.1000065,0.417338,0.885806,0.353517,1.041056,70.148994,64.773041
0.1100059,0.448211,0.917289,0.360717,1.082788,70.540710,63.958672
0.1199746,0.465783,0.919242,0.365354,1.093363,70.478783,63.128490
0.1299245,0.482867,0.905452,0.385000,1.096006,69.434647,61.929516
0.1399434,0.508249,0.913994,0.413677,1.124647,68.418259,60.922668
0.1502689,0.517401,0.966223,0.357910,1.152992,71.915550,61.831451
0.1602266,0.471030,0.949627,0.339972,1.113212,72.217949,63.617832
0.1701185,0.420511,0.940231,0.304705,1.074108,73.519897,65.903801
0.1800539,0.383536,0.899473,0.245522,1.008183,75.905090,66.906563
0.1900506,0.379509,0.890565,0.271026,1.005280,74.359413,66.919006
0.2001415,0.350832,0.919852,0.233563,1.011811,76.653687,69.123108
0.2103084,0.304217,0.918021,0.203300,0.988252,78.128555,71.665642
0.2202239,0.274076,0.893128,0.179260,0.951277,79.138161,72.940193
0.2301801,0.272490,0.869332,0.183531,0.929340,78.610046,72.596535
0.2402407,0.299458,0.862742,0.204642,0.935884,77.369553,70.858093
0.2504910,0.337653,0.862620,0.231244,0.954776,75.983734,68.623268
0.2603142,0.369991,0.862620,0.250403,0.971447,75.062645,66.784782
0.2702888,0.388417,0.858593,0.272490,0.980970,73.872482,65.658592
0.2801661,0.397569,0.853956,0.295309,0.987173,72.593651,65.035118
0.2904037,0.402939,0.852126,0.310685,0.992473,71.757408,64.692276
0.3003330,0.406599,0.857983,0.317152,1.001022,71.528748,64.643661
