Keuwl Accelerometer Data File
2019-06-28 13-17-51

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.132889,0.910334,0.201103,0.941705,77.669403,81.694710
0.0099356,0.146556,0.839191,0.323010,0.911074,69.234901,80.093765
0.0198669,0.193659,0.769024,0.365598,0.873249,65.249748,75.865395
0.0299750,0.272368,0.740836,0.387197,0.879172,63.869907,69.814072
0.0398736,0.371577,0.809538,0.380729,0.968698,66.856712,65.344917
0.0498404,0.433568,0.869820,0.393786,1.048635,67.943375,63.505730
0.0598553,0.416484,0.892517,0.449675,1.082707,65.460197,64.984390
0.0698992,0.375726,0.873847,0.464929,1.058743,63.951435,66.733849
0.0805097,0.363889,0.870064,0.459438,1.049052,64.026512,67.303719
0.0902304,0.375116,0.874823,0.477010,1.064691,63.382847,66.790802
0.1002398,0.397081,0.885196,0.530702,1.105844,61.320648,65.839943
0.1100985,0.434178,0.926685,0.549251,1.161436,61.776848,64.895607
0.1201883,0.457973,1.002831,0.452116,1.191562,67.701523,65.454742
0.1300607,0.420999,0.995876,0.412823,1.157338,69.102310,67.084167
0.1402274,0.387319,0.977937,0.381217,1.118796,70.078094,68.393616
0.1500608,0.331430,0.940841,0.361449,1.060977,70.081970,70.594177
0.1606485,0.277005,0.946576,0.356812,1.048834,70.111031,73.688469
0.1707673,0.232587,0.948162,0.336799,1.032735,70.966362,76.217354
0.1803202,0.205862,0.931445,0.309709,1.002939,72.013016,77.537178
0.1901302,0.203300,0.901914,0.290550,0.969122,72.553955,77.297302
0.2000132,0.222580,0.880070,0.292259,0.953667,72.154121,75.806847
0.2099677,0.255406,0.873237,0.313248,0.962236,71.001640,73.696762
0.2210499,0.281398,0.866525,0.337043,0.971416,69.698479,72.009155
0.2314005,0.297506,0.853834,0.356934,0.972082,68.457909,70.789871
0.2409753,0.303363,0.842852,0.366208,0.967748,67.764618,70.204941
0.2504143,0.306292,0.840045,0.365232,0.965859,67.781380,69.967461
0.2602502,0.306170,0.847245,0.358276,0.969497,68.312241,70.131607
0.2701052,0.302509,0.852858,0.352297,0.971077,68.728394,70.470390
0.2800291,0.297140,0.857251,0.349612,0.972317,68.926460,70.882698
0.2904232,0.294211,0.863352,0.346683,0.975770,69.188652,71.182053
0.3001322,0.298238,0.867624,0.348026,0.981243,69.226273,71.030045
0.3100981,0.309709,0.871895,0.358886,0.992431,68.800072,70.444283
0.3207406,0.323254,0.875311,0.375604,1.005854,68.073418,69.730736
0.3303974,0.334602,0.879704,0.389027,1.018421,67.542953,69.175293
0.3404188,0.340094,0.886782,0.399400,1.030323,67.191956,69.017456
0.3501390,0.339484,0.890077,0.407332,1.036052,66.848907,69.122681
0.3600971,0.336311,0.886904,0.412701,1.034420,66.486313,69.233452
0.3700021,0.330820,0.881657,0.411236,1.027558,66.408852,69.432655
0.3804131,0.320447,0.880192,0.403427,1.019891,66.699196,69.995209
0.3902591,0.309831,0.880559,0.393420,1.012995,67.146667,70.615227
0.4000457,0.299458,0.883365,0.381950,1.007916,67.731361,71.273491
0.4099994,0.292137,0.884708,0.375482,1.004509,68.050041,71.726418
0.4212548,0.287011,0.887270,0.371577,1.003839,68.274757,72.074806
0.4307445,0.285669,0.889711,0.368526,1.004492,68.476761,72.199173
0.4411013,0.286035,0.891907,0.368771,1.006631,68.509850,72.218925
0.4505107,0.291160,0.893005,0.369259,1.009250,68.538597,71.941681
0.4601559,0.301533,0.891907,0.375360,1.013566,68.263649,71.320824
0.4700855,0.317396,0.889955,0.383048,1.019552,67.932274,70.371559
0.4799333,0.328745,0.887758,0.387807,1.023026,67.723396,69.679939
0.4900477,0.332162,0.888002,0.387685,1.024294,67.759834,69.491425
0.5000134,0.325572,0.883487,0.384268,1.016961,67.798851,69.770737
0.5103253,0.312881,0.876410,0.381706,1.005827,67.697639,70.353249
0.5201237,0.301289,0.871650,0.376702,0.996220,67.781990,70.932137
0.5300714,0.294211,0.870796,0.373286,0.992063,67.897041,71.331718
0.5399982,0.290550,0.873725,0.368771,0.991870,68.173752,71.605873
0.5502902,0.290550,0.874823,0.364011,0.991080,68.451561,71.627411
0.5601442,0.299946,0.874579,0.368038,0.995143,68.294571,71.070038
0.5700182,0.298970,0.874335,0.376092,0.997642,67.853195,71.122391
0.5806221,0.296774,0.869210,0.382438,0.994916,67.394012,71.148598
0.5905131,0.293845,0.862010,0.385977,0.989133,67.031998,71.176613
0.6002797,0.292869,0.858837,0.384268,0.985411,67.048172,71.170319
0.6102284,0.297506,0.863597,0.379631,0.989155,67.431168,70.991364
0.6202533,0.303119,0.870430,0.372797,0.994237,67.978271,70.799812
0.6300477,0.311295,0.874945,0.369015,0.999303,68.329269,70.415054
0.6404679,0.318495,0.879948,0.372797,1.007336,68.279297,70.102425
0.6505695,0.319959,0.877386,0.377190,1.007200,68.006958,69.964447
0.6602989,0.316664,0.875189,0.381461,1.005856,67.713333,70.108673
0.6703720,0.305682,0.879094,0.382560,1.006280,67.655655,70.826233
0.6801711,0.295919,0.888612,0.381217,1.011201,67.852341,71.581573
0.6901026,0.292503,0.901181,0.376336,1.019468,68.336807,72.017769
0.7006169,0.293723,0.914116,0.369869,1.028924,68.932266,72.186806
0.7106045,0.300190,0.922780,0.366208,1.037182,69.324196,71.979736
0.7206028,0.310929,0.927784,0.367306,1.045166,69.425003,71.472412
0.7309855,0.324230,0.929004,0.373408,1.052429,69.218475,70.760590
0.7408063,0.340582,0.926807,0.379143,1.057694,68.994247,69.822701
0.7503857,0.354615,0.921560,0.387441,1.060724,68.576370,68.953339
0.7601419,0.358886,0.914971,0.394030,1.058882,68.153618,68.583008
0.7700245,0.352663,0.905940,0.393542,1.048797,67.961334,68.730133
0.7801778,0.344487,0.898619,0.388783,1.037950,68.002357,69.025604
0.7901725,0.332894,0.893250,0.382682,1.027209,68.127335,69.560699
0.8001083,0.320325,0.887270,0.372431,1.014180,68.455482,70.149239
0.8103852,0.309221,0.878728,0.364011,1.000142,68.656433,70.613258
0.8201747,0.300190,0.872627,0.356446,0.989265,68.880539,71.016380
0.8305389,0.293967,0.871040,0.352419,0.984544,69.025574,71.350998
0.8403355,0.287621,0.866769,0.351809,0.978665,68.931847,71.642525
0.8504093,0.286035,0.857617,0.358398,0.972508,68.375038,71.555267
0.8603337,0.289574,0.857983,0.369991,0.978203,67.775597,71.350189
0.8704554,0.292015,0.861888,0.377313,0.985134,67.479973,71.283211
0.8801918,0.296163,0.863841,0.384390,0.990802,67.172470,71.075974
0.8903769,0.302753,0.862254,0.389637,0.993458,66.908348,70.652908
0.9001081,0.309709,0.861400,0.390858,0.995339,66.878136,70.224411
0.9102056,0.314834,0.863841,0.387929,0.997913,67.123856,69.975311
0.9200763,0.319349,0.870064,0.388295,1.004872,67.268547,69.844810
0.9306642,0.322644,0.871895,0.388417,1.007555,67.324921,69.693054
0.9405212,0.325450,0.871162,0.390126,1.008484,67.241760,69.515228
0.9508222,0.324962,0.869454,0.392322,1.007704,67.087639,69.506554
0.9609101,0.318739,0.872261,0.392200,1.008094,67.104538,69.926842
0.9706841,0.308732,0.872627,0.391224,1.004912,67.088348,70.516388
0.9803656,0.304339,0.872993,0.390248,1.003510,67.115005,70.780617
0.9902624,0.305560,0.874335,0.389637,1.004811,67.184082,70.736671
1.0001112,0.308366,0.870430,0.388295,1.001754,67.193817,70.492348
1.0101457,0.308732,0.870064,0.386709,1.000935,67.272583,70.463348
