Keuwl Accelerometer Data File
2019-06-28 13-21-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.180480,1.044077,-0.098477,1.064128,95.309898,99.807297
0.0097710,-0.189877,1.004784,-0.068824,1.024881,93.850502,100.701141
0.0199130,-0.189510,0.975741,-0.037707,0.994689,92.172501,100.991264
0.0299960,-0.178162,0.960975,-0.012935,0.977437,90.758255,100.503204
0.0399820,-0.165471,0.942061,0.022453,0.956746,88.655235,99.962250
0.0497760,-0.152658,0.918631,0.057231,0.932986,86.483147,99.435165
0.0599560,-0.146556,0.907893,0.089935,0.924033,84.414619,99.169853
0.0700170,-0.160102,0.893616,0.115927,0.915216,82.723000,100.157433
0.0800600,-0.182555,0.884341,0.123371,0.911376,82.220116,101.663742
0.0898690,-0.193903,0.892639,0.125079,0.921981,82.202995,102.255669
0.1000550,-0.199029,0.903256,0.126910,0.933590,82.187172,102.426315
0.1099010,-0.220506,0.876898,0.132767,0.913893,81.646706,104.115013
0.1202620,-0.209645,0.924001,0.111168,0.953985,83.308105,102.783333
0.1299490,-0.180968,0.981354,0.036243,0.998559,87.920006,100.448357
0.1402210,-0.146800,1.028457,0.005857,1.038898,89.676964,98.123444
0.1500360,-0.118612,1.019183,0.026846,1.026413,88.501228,96.638184
0.1601860,-0.092742,0.997828,0.062967,1.004105,86.404655,95.310020
0.1698960,-0.074071,1.002831,0.067482,1.007825,86.160721,94.224327
0.1802940,-0.069312,1.032728,0.051008,1.036308,87.178711,93.839684
0.1898940,-0.083224,1.054083,0.055889,1.058840,86.974327,94.514336
0.2003130,-0.111168,1.030898,0.114707,1.043200,83.687180,96.154778
0.2099760,-0.097623,0.984283,0.126666,0.997190,82.702423,95.664169
0.2201550,-0.080539,0.960121,0.142529,0.973978,81.585274,94.794975
0.2299660,-0.074071,0.958657,0.134598,0.970889,82.031235,94.418228
0.2402440,-0.070288,0.975863,0.119954,0.985717,83.010223,94.119728
0.2499490,-0.085054,0.975741,0.102138,0.984752,84.046608,94.981796
