Keuwl Accelerometer Data File
2019-06-28 13-19-15

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.203544,0.967077,0.145092,0.998859,81.647797,78.114258
0.0099720,0.208303,0.878850,0.207327,0.926689,77.071884,76.665955
0.0198990,0.234051,0.832967,0.263460,0.904448,73.064583,74.305466
0.0299120,0.275297,0.828941,0.285791,0.919025,71.882187,71.628334
0.0398830,0.311417,0.837727,0.298116,0.942146,71.553307,69.607849
0.0499730,0.340338,0.866403,0.294333,0.976277,72.453171,68.554260
0.0599460,0.342778,0.918998,0.292259,1.023459,73.407700,69.544907
0.0699670,0.330942,0.921194,0.281764,1.018583,73.941208,70.239029
0.0799860,0.318251,0.921926,0.259189,1.009163,75.117630,70.955231
0.0900080,0.300434,0.909967,0.246376,0.989446,75.581429,71.728867
0.1001000,0.291282,0.902768,0.252843,0.981715,75.075111,72.117455
0.1100030,0.288110,0.925099,0.258091,1.002709,75.084564,72.701508
0.1205280,0.282496,0.948773,0.242593,1.019228,76.230499,73.419144
0.1299670,0.277859,0.946088,0.228682,1.012217,76.942924,73.632866
0.1399080,0.282252,0.929858,0.233685,0.999455,76.478386,73.114685
0.1499530,0.287255,0.885196,0.291892,0.975340,72.586082,72.021202
0.1599450,0.321545,0.843828,0.376824,0.978485,67.349442,69.140373
0.1699830,0.394030,0.868478,0.448455,1.053862,64.815475,65.596092
0.1800180,0.480305,0.930712,0.491531,1.156945,64.858643,62.703487
0.1899890,0.530336,1.005760,0.486040,1.236545,66.854790,62.197353
0.1999120,0.521062,1.047738,0.446625,1.252491,69.109131,63.557869
0.2100090,0.455655,1.069215,0.367916,1.219100,72.434647,66.918312
0.2200760,0.359740,0.950237,0.302631,1.060165,73.413857,69.264351
0.2299170,0.304950,0.936204,0.281642,1.024106,74.037239,71.958015
0.2399740,0.262972,0.967687,0.221848,1.027029,77.525238,74.796860
0.2499400,0.233441,0.990506,0.188046,1.034871,79.530640,76.738632
0.2601300,0.210621,0.980866,0.166569,1.016959,80.572968,77.880905
0.2700500,0.202690,0.945112,0.164617,0.980519,80.334999,77.895645
0.2799390,0.222092,0.908869,0.182067,0.953161,78.988060,76.268250
0.2899870,0.257114,0.885074,0.208059,0.944855,77.279114,73.801392
0.2999790,0.290062,0.874091,0.236369,0.950811,75.605453,71.641876
0.3100560,0.312515,0.869210,0.262484,0.960255,74.136421,70.224480
0.3200380,0.323742,0.867135,0.276273,0.965950,73.380676,69.527061
0.3299920,0.325694,0.866037,0.282008,0.967277,73.049324,69.390007
0.3399500,0.323498,0.862986,0.283350,0.964201,72.910172,69.451057
0.3499600,0.319715,0.865793,0.283961,0.965634,72.898430,69.732117
0.3599720,0.319227,0.873359,0.281520,0.971553,73.156235,69.921822
0.3700750,0.321789,0.886050,0.280178,0.983429,73.447197,70.040337
0.3801190,0.327525,0.895690,0.276639,0.993007,73.824104,69.914169
0.3900770,0.330698,0.904232,0.281276,1.003052,73.714714,69.911423
0.3999550,0.327647,0.912286,0.291038,1.012088,73.287926,70.244286
0.4099740,0.324230,0.923391,0.298238,1.023094,73.051865,70.652298
0.4200010,0.321179,0.932665,0.300679,1.031226,73.047798,70.997963
0.4299960,0.320325,0.943769,0.307268,1.042939,72.865410,71.252251
0.4399350,0.325328,0.951091,0.311051,1.052219,72.805634,71.116333
0.4501740,0.330331,0.949383,0.325938,1.056732,72.034752,70.814995
0.4601510,0.332650,0.941451,0.335213,1.053258,71.442123,70.539764
0.4700080,0.327525,0.936936,0.343633,1.050336,70.903229,70.731895
0.4799350,0.317641,0.933763,0.345585,1.045102,70.690475,71.213104
0.4901220,0.306170,0.930224,0.345707,1.038542,70.556496,71.781792
0.4999520,0.300801,0.927418,0.343022,1.033561,70.616829,72.029938
0.5101290,0.305316,0.921438,0.331796,1.025843,71.129082,71.667549
0.5204390,0.306048,0.900693,0.328623,1.006433,70.942146,71.232681
0.5301180,0.285547,0.895324,0.318617,0.992300,71.271194,72.310883
0.5399800,0.261629,0.903744,0.311539,0.991090,71.679039,73.854538
0.5506650,0.250647,0.913384,0.306536,0.995519,72.066345,74.654884
0.5606010,0.258335,0.918753,0.305682,1.002141,72.240105,74.295105
0.5702560,0.269317,0.914238,0.300679,0.999385,72.490532,73.586037
0.5806680,0.266144,0.906795,0.282740,0.986434,73.343765,73.643028
0.5905510,0.237590,0.900693,0.259677,0.967021,74.423012,75.222816
0.6010810,0.202445,0.903622,0.230146,0.954193,76.042953,77.372101
0.6103010,0.157417,0.912286,0.205374,0.948274,77.491951,80.209892
0.6202820,0.154244,0.931445,0.200249,0.965132,78.025078,80.597336
0.6303110,0.163396,0.938522,0.208547,0.975199,77.651901,80.123817
0.6405130,0.173891,0.932909,0.211476,0.972255,77.437141,79.441444
0.6511840,0.187192,0.910944,0.214892,0.954483,76.988884,78.387810
0.6606650,0.190487,0.883243,0.228926,0.932100,75.782585,77.829582
0.6701490,0.170596,0.858959,0.247230,0.909965,74.235046,78.766792
0.6805050,0.139113,0.855543,0.255894,0.903763,73.552132,80.764442
0.6908170,0.111046,0.881047,0.252111,0.923111,74.150574,82.816391
0.7007390,0.093352,0.922658,0.245766,0.959382,75.157028,84.222641
0.7101300,0.091766,0.950603,0.235149,0.983546,76.167572,84.486092
0.7202430,0.113731,0.954386,0.232953,0.988966,76.375854,83.204315
0.7300860,0.134476,0.925831,0.245766,0.967289,75.281113,81.735672
0.7401810,0.138869,0.887880,0.268341,0.937882,73.374565,81.110695
0.7502190,0.137892,0.853712,0.273466,0.906986,72.451622,80.824776
0.7602840,0.136062,0.833089,0.254674,0.881708,73.211403,80.724228
0.7700430,0.133377,0.821619,0.229658,0.863475,74.575447,80.779335
0.7800390,0.138625,0.821131,0.223068,0.862109,75.004257,80.417595
0.7899380,0.146190,0.822717,0.231976,0.867207,74.484543,79.924164
0.8000470,0.150095,0.810880,0.243813,0.859942,73.529427,79.513153
0.8100260,0.153146,0.775980,0.240762,0.826780,73.069885,78.835693
0.8200060,0.150217,0.721799,0.236980,0.774415,72.181000,78.243706
0.8301910,0.127398,0.647850,0.234661,0.700718,70.434357,78.874901
0.8400770,0.099697,0.566457,0.239054,0.622864,67.430855,80.018074
0.8503500,0.090545,0.505076,0.274076,0.581737,61.892071,79.836525
0.8601070,0.101894,0.478718,0.319471,0.584479,56.866524,77.984062
0.8709909,0.119710,0.477132,0.327403,0.590913,56.353813,75.915497
0.8801669,0.134354,0.499829,0.314224,0.605489,58.737568,74.954590
0.8901139,0.109094,0.532533,0.284083,0.613348,62.408333,78.422684
0.9000340,0.041246,0.559623,0.199151,0.595433,70.460068,85.784775
0.9103749,-0.004881,0.612462,0.095426,0.619870,81.144348,90.456619
0.9200389,0.002563,0.699468,0.027090,0.699997,87.782059,89.790092
0.9308570,0.095182,0.801728,0.035632,0.808144,87.472923,83.229454
0.9401029,0.244789,0.898863,0.027456,0.932003,88.311844,74.765945
0.9507719,0.371943,0.967809,0.090179,1.040735,85.029114,68.977501
0.9601089,0.485186,1.011617,0.197442,1.139192,80.019218,64.376968
0.9704570,0.790135,1.030288,0.438693,1.370495,71.331146,52.515129
0.9801900,0.984771,1.043223,0.596232,1.553570,67.431870,46.650948
0.9903290,1.260800,1.109362,0.712403,1.824231,67.012993,41.344154
1.0001580,1.599307,1.282277,0.905208,2.240852,66.174210,38.721600
1.0100199,1.757578,1.487285,0.996852,2.508946,66.589325,40.238319
1.0201470,1.880339,1.718041,1.014058,2.741469,68.290810,42.417534
1.0301770,2.048007,1.940377,1.052741,3.011255,69.537025,43.454208
1.0399960,2.100479,2.046298,1.107166,3.134511,69.315735,44.251431
1.0503740,2.138674,2.033973,1.137917,3.163199,68.916008,43.562634
1.0603160,2.217260,1.941964,1.171353,3.171677,68.326523,41.213150
1.0701989,2.332577,1.812247,1.231879,3.200419,67.361740,37.844677
1.0800849,2.526115,1.675087,1.377947,3.329551,65.552849,33.548679
1.0901740,2.635330,1.485821,1.438717,3.350005,64.566246,29.414656
1.1001190,2.643506,1.281789,1.407722,3.257727,64.397957,25.867916
1.1101980,2.581637,1.134988,1.252990,3.085941,66.044205,23.732161
1.1200989,2.385904,0.964514,1.122785,2.807752,66.428848,22.011284
1.1299989,2.346244,0.800142,0.991361,2.669810,68.202797,18.830959
1.1402800,2.355885,0.642847,0.724606,2.547253,73.473091,15.262654
1.1509230,2.127447,0.474691,0.490677,2.234307,77.313850,12.578210
1.1602019,1.825548,0.358276,0.570484,1.945878,72.951828,11.103558
1.1701479,1.596134,0.420023,0.789159,1.829436,64.445625,14.743131
1.1826639,1.301557,0.583053,0.776834,1.624030,61.423130,24.130733
1.1999780,0.965735,0.591717,0.350588,1.185615,72.800392,31.496284
1.2099761,1.108386,0.449431,-0.096647,1.199937,94.619781,22.071703
1.2202959,1.193440,0.280544,-0.133743,1.233244,96.225883,13.228437
1.2300309,1.014302,0.222214,-0.035876,1.038978,91.978844,12.357178
1.2402630,0.790135,0.768414,-0.075658,1.104762,93.926880,44.201538
1.2500490,0.244423,1.531093,0.771709,1.731913,63.539436,80.929848
1.2601659,0.091643,1.283863,-0.009518,1.287165,90.423691,85.917091
1.2699651,-0.287621,1.098258,-1.901572,2.214695,149.161530,104.675545
1.2801449,-0.901181,2.228487,-3.057793,3.889522,141.828247,112.017998
1.2902580,-2.505492,2.661688,-2.720872,4.556887,126.661774,133.268555
1.3001800,-3.993265,1.536950,-1.084834,4.414210,104.226730,158.949005
1.3106310,-3.473179,-0.050154,0.092620,3.474775,88.472610,180.827316
1.3200960,-0.780007,0.063699,0.970738,1.246916,38.875576,175.331329
1.3301040,0.911676,-0.113731,0.493118,1.042714,61.776161,352.889130
1.3403530,1.753429,-0.290062,-0.077366,1.778942,92.492577,350.606873
1.3502890,2.409821,-0.130693,0.056621,2.414027,88.655998,356.895691
1.3604569,2.304511,0.139601,0.511788,2.364780,77.501091,3.466580
1.3704079,0.864451,-0.030873,0.400132,0.953066,65.175720,357.954590
1.3802439,0.184263,-0.187558,0.058452,0.269347,77.466347,314.492310
1.3901180,-0.422707,-0.162176,-0.070166,0.458155,98.809525,200.989838
1.4011370,-0.813321,-0.021477,-0.133987,0.824563,99.351746,181.512634
1.4101400,-0.991727,0.073583,-0.216479,1.017742,102.280914,175.756592
1.4202570,-0.896544,0.125934,-0.297628,0.953013,108.198013,172.004227
1.4302040,-0.652731,0.126544,-0.305438,0.731685,114.673325,169.028290
1.4435509,-0.292869,0.040025,-0.130327,0.323047,113.792755,172.217789
1.4601411,-0.166447,-0.001586,-0.075780,0.182893,114.477776,180.546051
1.4703209,-0.132401,-0.026724,-0.076512,0.155236,119.529663,191.411453
1.4800750,-0.118490,-0.047225,-0.045151,0.135309,109.492546,201.730164
1.4903469,-0.112754,-0.077366,-0.041002,0.142759,106.690880,214.455856
1.5001240,-0.073949,-0.137404,-0.009152,0.156308,93.356705,241.711380
1.5100470,0.003905,-0.267121,0.161932,0.312395,58.777927,270.837524
1.5201820,0.145336,-0.541319,0.370845,0.672068,56.509609,285.028656
1.5303090,0.277981,-0.791844,0.512764,0.983472,58.575024,289.343903
1.5401020,0.422707,-0.748035,0.656636,1.081392,52.611702,299.470337
1.5507900,0.599527,-0.552424,0.786474,1.132760,46.028614,317.341522
1.5602230,0.771465,-0.487260,0.902524,1.283406,45.313625,327.723328
1.5702429,0.894470,-0.576341,1.029800,1.480788,45.937687,327.204773
1.5801140,0.937302,-0.683726,1.138527,1.625503,45.539677,323.890656
1.5904779,0.974765,-0.682750,1.258725,1.732254,43.394535,324.991608
1.6013689,1.150486,-0.636501,1.380510,1.906452,43.603874,331.046631
1.6102090,1.317543,-0.621004,1.414434,2.030317,45.840633,334.763885
1.6200889,1.521453,-0.634427,1.363304,2.139138,50.408146,337.364471
1.6300390,1.587226,-0.663226,1.229560,2.114468,54.443974,337.322296
1.6401989,1.480939,-0.607336,0.912652,1.842545,60.309052,337.701355
1.6501169,1.433836,-0.465417,0.870674,1.740854,59.990612,342.016785
1.6602449,1.424440,-0.314590,0.971226,1.752506,56.344872,347.546051
1.6701109,1.452263,-0.151193,0.933031,1.732764,57.420883,354.056396
1.6800799,1.520599,0.044540,0.796115,1.716975,62.375633,1.677793
1.6902289,1.734027,0.232587,0.739493,1.899420,67.087433,7.639536
1.7001190,1.847880,0.336189,0.691536,2.001476,69.786873,10.311172
1.7110980,1.774540,0.373774,0.633695,1.921007,70.738739,11.894416
1.7200500,1.616635,0.328379,0.569386,1.745148,70.957603,11.481992
1.7302850,1.471543,0.205740,0.590863,1.599027,68.314362,7.959079
1.7401170,1.369039,0.062967,0.624054,1.505881,65.517738,2.633372
1.7504290,1.318275,-0.025382,0.590496,1.444708,65.874870,358.896973
1.7599989,1.286182,-0.029409,0.447479,1.362118,70.821213,358.690155
1.7702990,1.260922,0.048933,0.395861,1.322507,72.582863,2.222402
1.7800800,1.229072,0.141919,0.487260,1.329730,68.504051,6.586695
1.7899669,1.152438,0.213672,0.602821,1.318015,62.782433,10.503860
1.8000369,0.996486,0.268707,0.662127,1.226214,57.317917,15.091133
1.8101450,0.767560,0.312759,0.474325,0.954961,60.218369,22.169529
1.8203011,0.588788,0.371577,0.314834,0.764108,65.667717,32.255539
1.8300700,0.441744,0.408430,0.333016,0.687642,61.034248,42.756031
1.8399750,0.363035,0.448455,0.366330,0.683450,57.588184,51.009003
1.8500409,0.364011,0.525455,0.447113,0.780075,55.028683,55.287552
1.8599730,0.430029,0.637966,0.544248,0.942407,54.724522,56.017559
1.8701159,0.532045,0.772441,0.594768,1.110624,57.620438,55.441563
1.8804150,0.648216,0.907527,0.575731,1.255092,62.695694,54.463047
1.8900800,0.718260,1.012960,0.561088,1.362646,65.684357,54.660645
1.9001909,0.676161,1.067872,0.523015,1.367877,67.520370,57.658630
1.9101360,0.380485,1.046517,0.525455,1.231288,64.738365,70.020111
1.9200269,0.262606,0.977083,0.577439,1.164942,60.285339,74.956406
1.9299890,0.196466,0.958413,0.625397,1.161152,57.411617,78.415359
1.9399580,0.188900,0.940475,0.649924,1.158696,55.881245,78.642899
1.9499879,0.227705,0.927784,0.673110,1.168636,54.831757,76.210487
